family,paper_ref,construction,generation_model,detector_model,detector,eta,t,block_length,tokens,detected,n_watermarked,tpr_percent,ci_lower_percent,ci_upper_percent
fixed_online_detection,fig:prc-detection-power,fixed_prc,Qwen3-0.6B-Base,Qwen3-0.6B-Base,Posterior mean,0.05,3,256,256,312,500,62.4,58.074917938476744,66.53599841807676
fixed_online_detection,fig:prc-detection-power,fixed_prc,Qwen3-0.6B-Base,Qwen3-0.6B-Base,Entropy weighted,0.05,3,256,256,219,500,43.8,39.514834408666566,48.1797074130567
fixed_online_detection,fig:prc-detection-power,fixed_prc,Qwen3-0.6B-Base,Qwen3-0.6B-Base,Naive,0.05,3,256,256,126,500,25.2,21.59338483813719,29.184782448755808
fixed_online_detection,fig:prc-detection-power,fixed_prc,Qwen3-0.6B-Base,Qwen3-0.6B-Base,Posterior mean,0.05,3,400,400,430,500,86.0,82.6833135055546,88.76773398121365
fixed_online_detection,fig:prc-detection-power,fixed_prc,Qwen3-0.6B-Base,Qwen3-0.6B-Base,Entropy weighted,0.05,3,400,400,355,500,71.0,66.87451968835137,74.80525801226344
fixed_online_detection,fig:prc-detection-power,fixed_prc,Qwen3-0.6B-Base,Qwen3-0.6B-Base,Naive,0.05,3,400,400,260,500,52.0,47.62234529552701,56.34715734262677
fixed_online_detection,fig:prc-detection-power,fixed_prc,Qwen3-0.6B-Base,Qwen3-0.6B-Base,Posterior mean,0.05,3,448,448,450,500,90.0,87.05780903680599,92.33224372626984
fixed_online_detection,fig:prc-detection-power,fixed_prc,Qwen3-0.6B-Base,Qwen3-0.6B-Base,Entropy weighted,0.05,3,448,448,397,500,79.4,75.63735290819747,82.71433587266328
fixed_online_detection,fig:prc-detection-power,fixed_prc,Qwen3-0.6B-Base,Qwen3-0.6B-Base,Naive,0.05,3,448,448,291,500,58.199999999999996,53.83026562362387,62.44469519280666
fixed_online_detection,fig:prc-detection-power,fixed_prc,Qwen3-0.6B-Base,Qwen3-0.6B-Base,Posterior mean,0.05,3,512,512,472,500,94.39999999999999,92.0255206353293,96.09743793168485
