eta,n,r,t,target_fpr,detector,true_positives,n_watermarked,tpr,false_positives,n_unwatermarked,fpr
0.05,256,253,3,0.001,Posterior mean,312,500,0.624,0,500,0.0
0.05,256,253,3,0.001,Entropy weighted,219,500,0.438,0,500,0.0
0.05,256,253,3,0.001,Naive,126,500,0.252,0,500,0.0
0.05,400,396,3,0.001,Posterior mean,430,500,0.86,0,500,0.0
0.05,400,396,3,0.001,Entropy weighted,355,500,0.71,0,500,0.0
0.05,400,396,3,0.001,Naive,260,500,0.52,0,500,0.0
0.05,416,412,3,0.001,Posterior mean,441,500,0.882,0,500,0.0
0.05,416,412,3,0.001,Entropy weighted,368,500,0.736,0,500,0.0
0.05,416,412,3,0.001,Naive,255,500,0.51,0,500,0.0
0.05,448,444,3,0.001,Posterior mean,450,500,0.9,0,500,0.0
0.05,448,444,3,0.001,Entropy weighted,397,500,0.794,0,500,0.0
0.05,448,444,3,0.001,Naive,291,500,0.582,0,500,0.0
0.05,512,507,3,0.001,Posterior mean,472,500,0.944,0,500,0.0
0.05,512,507,3,0.001,Entropy weighted,421,500,0.842,0,500,0.0
0.05,512,507,3,0.001,Naive,344,500,0.688,0,500,0.0
0.05,1024,1014,3,0.001,Posterior mean,495,500,0.99,0,500,0.0
0.05,1024,1014,3,0.001,Entropy weighted,489,500,0.978,1,500,0.002
0.05,1024,1014,3,0.001,Naive,463,500,0.926,0,500,0.0
0.1,256,253,3,0.001,Posterior mean,135,500,0.27,0,500,0.0
0.1,256,253,3,0.001,Entropy weighted,94,500,0.188,0,500,0.0
0.1,256,253,3,0.001,Naive,47,500,0.094,0,500,0.0
0.1,400,396,3,0.001,Posterior mean,247,500,0.494,0,500,0.0
0.1,400,396,3,0.001,Entropy weighted,184,500,0.368,0,500,0.0
0.1,400,396,3,0.001,Naive,120,500,0.24,0,500,0.0
0.1,512,507,3,0.001,Posterior mean,335,500,0.67,0,500,0.0
0.1,512,507,3,0.001,Entropy weighted,247,500,0.494,0,500,0.0
0.1,512,507,3,0.001,Naive,168,500,0.336,0,500,0.0
0.1,768,760,3,0.001,Posterior mean,448,500,0.896,0,500,0.0
0.1,768,760,3,0.001,Entropy weighted,385,500,0.77,0,500,0.0
0.1,768,760,3,0.001,Naive,283,500,0.566,1,500,0.002
0.1,1024,1014,3,0.001,Posterior mean,476,500,0.952,0,500,0.0
0.1,1024,1014,3,0.001,Entropy weighted,446,500,0.892,0,500,0.0
0.1,1024,1014,3,0.001,Naive,385,500,0.77,0,500,0.0
0.15,256,253,3,0.001,Posterior mean,47,500,0.094,0,500,0.0
0.15,256,253,3,0.001,Entropy weighted,37,500,0.074,0,500,0.0
0.15,256,253,3,0.001,Naive,12,500,0.024,0,500,0.0
0.15,400,396,3,0.001,Posterior mean,88,500,0.176,0,500,0.0
0.15,400,396,3,0.001,Entropy weighted,49,500,0.098,1,500,0.002
0.15,400,396,3,0.001,Naive,29,500,0.058,1,500,0.002
0.15,512,507,3,0.001,Posterior mean,148,500,0.296,0,500,0.0
0.15,512,507,3,0.001,Entropy weighted,110,500,0.22,0,500,0.0
0.15,512,507,3,0.001,Naive,56,500,0.112,0,500,0.0
0.15,1024,1014,3,0.001,Posterior mean,373,500,0.746,0,500,0.0
0.15,1024,1014,3,0.001,Entropy weighted,304,500,0.608,0,500,0.0
0.15,1024,1014,3,0.001,Naive,201,500,0.402,0,500,0.0
0.15,1504,1489,3,0.001,Posterior mean,455,500,0.91,0,500,0.0
0.15,1504,1489,3,0.001,Entropy weighted,417,500,0.834,0,500,0.0
0.15,1504,1489,3,0.001,Naive,341,500,0.682,0,500,0.0
0.15,2048,2028,3,0.001,Posterior mean,488,500,0.976,0,500,0.0
0.15,2048,2028,3,0.001,Entropy weighted,476,500,0.952,0,500,0.0
0.15,2048,2028,3,0.001,Naive,441,500,0.882,0,500,0.0
0.2,2048,2028,3,0.001,Posterior mean,361,500,0.722,0,500,0.0
0.2,2048,2028,3,0.001,Entropy weighted,297,500,0.594,0,500,0.0
0.2,2048,2028,3,0.001,Naive,229,500,0.458,0,500,0.0
0.2,4096,4055,3,0.001,Posterior mean,484,500,0.968,1,500,0.002
0.2,4096,4055,3,0.001,Entropy weighted,475,500,0.95,1,500,0.002
0.2,4096,4055,3,0.001,Naive,447,500,0.894,0,500,0.0
