setting,metric,tokens,prompts,responses_per_prompt,mean,ci95_lower,ci95_upper,p_value,holm_p,holm_significant
prc,distinct_3,1024,50,2,0.9561448140900195,0.9462020547945207,0.9651467710371819,,,
prc,repeated_4gram_fraction,1024,50,2,0.023829578844270324,0.016816356513222334,0.03162659157688541,,,
prc,self_bleu,1024,50,2,0.01889752954559325,0.015809980704885956,0.022274138881550092,,,
prc,tpr,1024,50,2,0.97,0.93,1.0,,,
null,distinct_3,1024,50,2,0.9514481409001957,0.9379043542074365,0.9619667318982387,0.5932740672593274,1.0,False
null,repeated_4gram_fraction,1024,50,2,0.02924583741429971,0.019647404505386875,0.043282321253672866,0.5372746272537274,1.0,False
null,self_bleu,1024,50,2,0.019276136848081236,0.016487144732791524,0.022289645987971732,0.8292517074829252,1.0,False
textseal_off,distinct_3,1024,50,2,0.6603033268101761,0.6139224559686889,0.7091648727984345,1.999980000199998e-05,0.0006999930000699993,True
textseal_off,repeated_4gram_fraction,1024,50,2,0.3217335945151812,0.27153893241919685,0.3695497061704212,1.999980000199998e-05,0.0006999930000699993,True
textseal_off,self_bleu,1024,50,2,0.03770003658744605,0.03157400517496907,0.0443996285931615,1.999980000199998e-05,0.0006999930000699993,True
textseal_off,tpr,1024,50,2,1.0,1.0,1.0,0.25,1.0,False
textseal_on,distinct_3,1024,50,2,0.9464383561643835,0.9379637964774952,0.9551174168297457,0.08515914840851592,1.0,False
textseal_on,repeated_4gram_fraction,1024,50,2,0.027404505386875617,0.021371204701273266,0.03349804113614104,0.42185578144218555,1.0,False
textseal_on,self_bleu,1024,50,2,0.0472700986447966,0.04082055669750315,0.0542138734549696,1.999980000199998e-05,0.0006999930000699993,True
textseal_on,tpr,1024,50,2,1.0,1.0,1.0,0.25,1.0,False
synthid_depth10,distinct_3,1024,50,2,0.9553816046966732,0.9462619863013698,0.9634941291585127,0.8977710222897771,1.0,False
synthid_depth10,repeated_4gram_fraction,1024,50,2,0.024231145935357495,0.018255631733594516,0.031422624877571005,0.9370106298937011,1.0,False
synthid_depth10,self_bleu,1024,50,2,0.02205872601651767,0.019088828015303854,0.025180992066454775,0.14101858981410187,1.0,False
synthid_depth10,tpr,1024,50,2,1.0,1.0,1.0,0.25,1.0,False
gumbel_off,distinct_3,1024,50,2,0.4719765166340509,0.39781262230919767,0.546007338551859,1.999980000199998e-05,0.0006999930000699993,True
gumbel_off,repeated_4gram_fraction,1024,50,2,0.5172967678746327,0.44124632713026446,0.594263956904995,1.999980000199998e-05,0.0006999930000699993,True
gumbel_off,self_bleu,1024,50,2,1.0000000000000004,1.0000000000000002,1.0000000000000002,1.999980000199998e-05,0.0006999930000699993,True
gumbel_off,tpr,1024,50,2,1.0,1.0,1.0,0.25,1.0,False
gumbel_on,distinct_3,1024,50,2,0.9456164383561644,0.9341276908023484,0.9557147749510765,0.15303846961530385,1.0,False
gumbel_on,repeated_4gram_fraction,1024,50,2,0.028129285014691478,0.020489471106758087,0.03714152791380999,0.4872751272487275,1.0,False
gumbel_on,self_bleu,1024,50,2,0.20718411027100228,0.18343380597744974,0.23096949344961093,1.999980000199998e-05,0.0006999930000699993,True
gumbel_on,tpr,1024,50,2,1.0,1.0,1.0,0.25,1.0,False
synthid_off,distinct_3,1024,50,2,0.8880430528375733,0.8527585616438357,0.9210819471624268,1.999980000199998e-05,0.0006999930000699993,True
synthid_off,repeated_4gram_fraction,1024,50,2,0.0934769833496572,0.060731880509304594,0.12914275220372182,1.999980000199998e-05,0.0006999930000699993,True
synthid_off,self_bleu,1024,50,2,0.021384543298234155,0.01775449830382432,0.025339233483363595,0.25521744782552175,1.0,False
synthid_off,tpr,1024,50,2,1.0,1.0,1.0,0.25,1.0,False
synthid_depth2,self_bleu,1024,50,2,0.019865715254856652,0.01591649684490229,0.024179757292898497,0.6179338206617934,1.0,False
synthid_depth2,tpr,1024,50,2,1.0,1.0,1.0,0.25,1.0,False
synthid_depth2,distinct_3,1024,50,2,0.9461937377690802,0.932600782778865,0.9586695205479454,0.1941380586194138,1.0,False
synthid_depth2,repeated_4gram_fraction,1024,50,2,0.032761998041136144,0.02323139079333987,0.043869245837414306,0.16829831701682982,1.0,False
synthid_depth30,distinct_3,1024,50,2,0.9589041095890412,0.9488842954990215,0.9682585616438357,0.6750132498675013,1.0,False
synthid_depth30,repeated_4gram_fraction,1024,50,2,0.023046033300685612,0.015807786483839383,0.030930950048971607,0.8886311136888632,1.0,False
synthid_depth30,self_bleu,1024,50,2,0.02889849534759662,0.024117780328355532,0.03391950373840047,0.00047999520004799953,0.011999880001199989,True
synthid_depth30,tpr,1024,50,2,1.0,1.0,1.0,0.25,1.0,False
