eta,T,n,r value,r setting,PRC Construction,t,Target FPR,Entropy Model,Generation Model,Old Posterior TPR,Posterior TPR,Old Entropy Aware TPR,Entropy Aware TPR,Naive TPR,Posterior FPR,Entropy FPR,Naive FPR,Entropy Trace Source,Notes
0.05,400,400,396,396/400,fixed_prc,3,0.001,Qwen3-0.6B-Base,Qwen3-0.6B-Base,unavailable,208/500 (41.6%),unavailable,167/500 (33.4%),skipped,0/500 (0.0%),0/500 (0.0%),skipped,completion_only_raw_abstain_v1,BF16; coordinate 1=0; FPR policy=block_or_bonferroni; batch=100; GPU=A100-80GB; commit=b7f2b497b70b9aafff1b21f407aa8899cf1121a2; run=completion_only_raw_abstain_v1/integrated/dc1a321e7eb4dfc1cced5d43; report=full.json; attack=substitution; rate=0.1; seed=0; vocab=151665; scored length=400
0.05,400,400,396,396/400,fixed_prc,3,0.001,Qwen3-0.6B-Base,Qwen3-0.6B-Base,unavailable,118/500 (23.6%),unavailable,98/500 (19.6%),skipped,0/500 (0.0%),0/500 (0.0%),skipped,completion_only_raw_abstain_v1,BF16; coordinate 1=0; FPR policy=block_or_bonferroni; batch=100; GPU=A100-80GB; commit=b7f2b497b70b9aafff1b21f407aa8899cf1121a2; run=completion_only_raw_abstain_v1/integrated/af10feb24dcd0f885864fcc5; report=full.json; attack=substitution; rate=0.15; seed=0; vocab=151665; scored length=400
0.05,400,400,396,396/400,fixed_prc,3,0.001,Qwen3-0.6B-Base,Qwen3-0.6B-Base,unavailable,66/500 (13.2%),unavailable,56/500 (11.2%),skipped,0/500 (0.0%),0/500 (0.0%),skipped,completion_only_raw_abstain_v1,BF16; coordinate 1=0; FPR policy=block_or_bonferroni; batch=100; GPU=A100-80GB; commit=b7f2b497b70b9aafff1b21f407aa8899cf1121a2; run=completion_only_raw_abstain_v1/integrated/e65ca32378ea3348cbea2b12; report=full.json; attack=substitution; rate=0.2; seed=0; vocab=151665; scored length=400
0.05,400,400,396,396/400,fixed_prc,3,0.001,Qwen3-0.6B-Base,Qwen3-0.6B-Base,unavailable,30/500 (6.0%),unavailable,25/500 (5.0%),skipped,0/500 (0.0%),0/500 (0.0%),skipped,completion_only_raw_abstain_v1,BF16; coordinate 1=0; FPR policy=block_or_bonferroni; batch=100; GPU=A100-80GB; commit=b7f2b497b70b9aafff1b21f407aa8899cf1121a2; run=completion_only_raw_abstain_v1/integrated/fc81a1087c973cbbb3477e78; report=full.json; attack=substitution; rate=0.25; seed=0; vocab=151665; scored length=400
0.05,400,400,396,396/400,fixed_prc,3,0.001,Qwen3-0.6B-Base,Qwen3-0.6B-Base,unavailable,13/500 (2.6%),unavailable,7/500 (1.4%),skipped,0/500 (0.0%),0/500 (0.0%),skipped,completion_only_raw_abstain_v1,BF16; coordinate 1=0; FPR policy=block_or_bonferroni; batch=100; GPU=A100-80GB; commit=b7f2b497b70b9aafff1b21f407aa8899cf1121a2; run=completion_only_raw_abstain_v1/integrated/862ca6964b37e4109ae70d8c; report=full.json; attack=substitution; rate=0.3; seed=0; vocab=151665; scored length=400
0.05,400,400,396,396/400,fixed_prc,3,0.001,Qwen3-0.6B-Base,Qwen3-0.6B-Base,unavailable,0/500 (0.0%),unavailable,0/500 (0.0%),skipped,0/500 (0.0%),0/500 (0.0%),skipped,completion_only_raw_abstain_v1,BF16; coordinate 1=0; FPR policy=block_or_bonferroni; batch=100; GPU=A100-80GB; commit=b7f2b497b70b9aafff1b21f407aa8899cf1121a2; run=completion_only_raw_abstain_v1/integrated/8da1d03d60746c8c1aeb5cfa; report=full.json; attack=insertion; rate=0.05; seed=0; vocab=151665; scored length=400
0.05,400,400,396,396/400,fixed_prc,3,0.001,Qwen3-0.6B-Base,Qwen3-0.6B-Base,unavailable,0/500 (0.0%),unavailable,0/500 (0.0%),skipped,0/500 (0.0%),0/500 (0.0%),skipped,completion_only_raw_abstain_v1,BF16; coordinate 1=0; FPR policy=block_or_bonferroni; batch=100; GPU=A100-80GB; commit=b7f2b497b70b9aafff1b21f407aa8899cf1121a2; run=completion_only_raw_abstain_v1/integrated/9e13b7800ca1dc62009ecb0a; report=full.json; attack=insertion; rate=0.1; seed=0; vocab=151665; scored length=400
0.05,400,400,396,396/400,fixed_prc,3,0.001,Qwen3-0.6B-Base,Qwen3-0.6B-Base,unavailable,0/500 (0.0%),unavailable,0/500 (0.0%),skipped,0/500 (0.0%),0/500 (0.0%),skipped,completion_only_raw_abstain_v1,BF16; coordinate 1=0; FPR policy=block_or_bonferroni; batch=100; GPU=A100-80GB; commit=b7f2b497b70b9aafff1b21f407aa8899cf1121a2; run=completion_only_raw_abstain_v1/integrated/de16a0176fc3a10ad57eb4c0; report=full.json; attack=insertion; rate=0.15; seed=0; vocab=151665; scored length=400
0.05,400,400,396,396/400,fixed_prc,3,0.001,Qwen3-0.6B-Base,Qwen3-0.6B-Base,unavailable,0/500 (0.0%),unavailable,0/500 (0.0%),skipped,0/500 (0.0%),0/500 (0.0%),skipped,completion_only_raw_abstain_v1,BF16; coordinate 1=0; FPR policy=block_or_bonferroni; batch=100; GPU=A100-80GB; commit=b7f2b497b70b9aafff1b21f407aa8899cf1121a2; run=completion_only_raw_abstain_v1/integrated/01712942535eed308478e7ac; report=full.json; attack=insertion; rate=0.2; seed=0; vocab=151665; scored length=400
0.05,400,400,396,396/400,fixed_prc,3,0.001,Qwen3-0.6B-Base,Qwen3-0.6B-Base,unavailable,323/500 (64.6%),unavailable,257/500 (51.4%),skipped,0/500 (0.0%),0/500 (0.0%),skipped,completion_only_raw_abstain_v1,BF16; coordinate 1=0; FPR policy=block_or_bonferroni; batch=100; GPU=A100-80GB; commit=c07e240b6be21620bb3cf6680d9d96cbb65e1924; run=completion_only_raw_abstain_v1/integrated/c53e3dd88ba46c105fd51db5; report=full.json; attack=substitution; rate=0.05; seed=0; vocab=151665; scored length=400
0.05,400,400,396,396/400,fixed_prc,3,0.001,Qwen3-0.6B-Base,Qwen3-0.6B-Base,unavailable,430/500 (86.0%),unavailable,354/500 (70.8%),skipped,0/500 (0.0%),0/500 (0.0%),skipped,completion_only_raw_abstain_v1,BF16; coordinate 1=0; FPR policy=block_or_bonferroni; batch=100; GPU=A100-80GB; commit=c07e240b6be21620bb3cf6680d9d96cbb65e1924; run=completion_only_raw_abstain_v1/integrated/35c1cd3e9974e5a8df55868d; report=full.json; attack=substitution; rate=0; seed=0; vocab=151665; scored length=400
