scheme,set,variant,n_query,alpha,texts,genuine TPR (query500),detected@1e-3,detected & ppl-ok,median ppl,ppl-ok cut (calib p95),threshold,PRC proven-threshold detected,PRC proven-threshold & ppl-ok
prc,calib,calib,,,500,91.0%,0/500 (0.0%),0/500 (0.0%),54.1,136,empirical 1e-3 quantile of 5000 unwatermarked (stat<=0.006692),0/500 (0.0%),0/500 (0.0%)
prc,ctx1_N10000_a1,ctx1,10000,1,500,91.0%,1/500 (0.2%),1/500 (0.2%),47.8,136,empirical 1e-3 quantile of 5000 unwatermarked (stat<=0.006692),0/500 (0.0%),0/500 (0.0%)
prc,ctx1_N10000_a2,ctx1,10000,2,500,91.0%,0/500 (0.0%),0/500 (0.0%),45.6,136,empirical 1e-3 quantile of 5000 unwatermarked (stat<=0.006692),0/500 (0.0%),0/500 (0.0%)
prc,ctx1_N10000_a4.5,ctx1,10000,4.5,500,91.0%,0/500 (0.0%),0/500 (0.0%),55.6,136,empirical 1e-3 quantile of 5000 unwatermarked (stat<=0.006692),0/500 (0.0%),0/500 (0.0%)
prc,ctx1_N10000_a8,ctx1,10000,8,500,91.0%,0/500 (0.0%),0/500 (0.0%),16.5,136,empirical 1e-3 quantile of 5000 unwatermarked (stat<=0.006692),0/500 (0.0%),0/500 (0.0%)
prc,ctx2_N10000_a1,ctx2,10000,1,500,91.0%,0/500 (0.0%),0/500 (0.0%),45.8,136,empirical 1e-3 quantile of 5000 unwatermarked (stat<=0.006692),0/500 (0.0%),0/500 (0.0%)
prc,ctx2_N10000_a2,ctx2,10000,2,500,91.0%,1/500 (0.2%),1/500 (0.2%),37.8,136,empirical 1e-3 quantile of 5000 unwatermarked (stat<=0.006692),0/500 (0.0%),0/500 (0.0%)
prc,ctx2_N10000_a4.5,ctx2,10000,4.5,500,91.0%,0/500 (0.0%),0/500 (0.0%),32.4,136,empirical 1e-3 quantile of 5000 unwatermarked (stat<=0.006692),0/500 (0.0%),0/500 (0.0%)
prc,ctx2_N10000_a8,ctx2,10000,8,500,91.0%,2/500 (0.4%),2/500 (0.4%),36.7,136,empirical 1e-3 quantile of 5000 unwatermarked (stat<=0.006692),1/500 (0.2%),1/500 (0.2%)
prc,ctx3_N10000_a1,ctx3,10000,1,500,91.0%,1/500 (0.2%),1/500 (0.2%),52.3,136,empirical 1e-3 quantile of 5000 unwatermarked (stat<=0.006692),0/500 (0.0%),0/500 (0.0%)
prc,ctx3_N10000_a2,ctx3,10000,2,500,91.0%,0/500 (0.0%),0/500 (0.0%),49.4,136,empirical 1e-3 quantile of 5000 unwatermarked (stat<=0.006692),0/500 (0.0%),0/500 (0.0%)
prc,ctx3_N10000_a4.5,ctx3,10000,4.5,500,91.0%,0/500 (0.0%),0/500 (0.0%),45.5,136,empirical 1e-3 quantile of 5000 unwatermarked (stat<=0.006692),0/500 (0.0%),0/500 (0.0%)
prc,ctx3_N10000_a8,ctx3,10000,8,500,91.0%,0/500 (0.0%),0/500 (0.0%),49.2,136,empirical 1e-3 quantile of 5000 unwatermarked (stat<=0.006692),0/500 (0.0%),0/500 (0.0%)
prc,ctx4_N10000_a1,ctx4,10000,1,500,91.0%,0/500 (0.0%),0/500 (0.0%),51.7,136,empirical 1e-3 quantile of 5000 unwatermarked (stat<=0.006692),0/500 (0.0%),0/500 (0.0%)
prc,ctx4_N10000_a2,ctx4,10000,2,500,91.0%,0/500 (0.0%),0/500 (0.0%),52,136,empirical 1e-3 quantile of 5000 unwatermarked (stat<=0.006692),0/500 (0.0%),0/500 (0.0%)
prc,ctx4_N10000_a4.5,ctx4,10000,4.5,500,91.0%,1/500 (0.2%),1/500 (0.2%),52.6,136,empirical 1e-3 quantile of 5000 unwatermarked (stat<=0.006692),0/500 (0.0%),0/500 (0.0%)
prc,ctx4_N10000_a8,ctx4,10000,8,500,91.0%,0/500 (0.0%),0/500 (0.0%),53,136,empirical 1e-3 quantile of 5000 unwatermarked (stat<=0.006692),0/500 (0.0%),0/500 (0.0%)
prc,pos_N10000_a1,pos,10000,1,500,91.0%,0/500 (0.0%),0/500 (0.0%),45,136,empirical 1e-3 quantile of 5000 unwatermarked (stat<=0.006692),0/500 (0.0%),0/500 (0.0%)
prc,pos_N10000_a2,pos,10000,2,500,91.0%,0/500 (0.0%),0/500 (0.0%),45,136,empirical 1e-3 quantile of 5000 unwatermarked (stat<=0.006692),0/500 (0.0%),0/500 (0.0%)
prc,pos_N10000_a4.5,pos,10000,4.5,500,91.0%,1/500 (0.2%),1/500 (0.2%),90.5,136,empirical 1e-3 quantile of 5000 unwatermarked (stat<=0.006692),0/500 (0.0%),0/500 (0.0%)
prc,pos_N10000_a8,pos,10000,8,500,91.0%,0/500 (0.0%),0/500 (0.0%),247,136,empirical 1e-3 quantile of 5000 unwatermarked (stat<=0.006692),0/500 (0.0%),0/500 (0.0%)
prc,query500,query500,,,500,91.0%,455/500 (91.0%),438/500 (87.6%),51.7,136,empirical 1e-3 quantile of 5000 unwatermarked (stat<=0.006692),419/500 (83.8%),403/500 (80.6%)
kgw2,calib,calib,,,500,100.0%,0/500 (0.0%),0/500 (0.0%),54.1,136,empirical 1e-3 quantile of 5000 unwatermarked (stat<=-3.382),,
kgw2,ctx1_N10000_a1,ctx1,10000,1,500,100.0%,458/500 (91.6%),449/500 (89.8%),46.1,136,empirical 1e-3 quantile of 5000 unwatermarked (stat<=-3.382),,
