method,prefix_length,prompts,median_distinct_2,median_distinct_3,median_repetition_rate,median_base_nll,median_base_entropy,median_deduplicated_context_token_count,median_longest_loop_span,median_first_repeat_4gram_onset,distinct_2_minus_null,distinct_3_minus_null,repetition_rate_minus_null,distinct_2_ratio_to_null,distinct_3_ratio_to_null
null,128,5,0.9606299212598425,0.9920634920634921,0.0,2.628910385627478,2.9439441492577316,124,0,129,0.0,0.0,0.0,1.0,1.0
online_prc,128,5,0.984251968503937,1.0,0.0,2.448956884005156,2.7591523443443293,124,0,129,0.023622047244094557,0.007936507936507908,0.0,1.0245901639344264,1.008
textseal,128,5,0.9606299212598425,0.9920634920634921,0.0,2.3622896809765734,2.774394400170422,124,0,129,0.0,0.0,0.0,1.0,1.0
synthid_text,128,5,0.9606299212598425,0.9841269841269841,0.0,2.8118241388256138,2.7149808583308186,124,0,129,0.0,-0.00793650793650802,0.0,1.0,0.9919999999999999
gumbel_max,128,5,0.84251968503937,0.8809523809523809,0.10399999999999998,1.919991278050702,2.5461478567813174,111,0,114,-0.11811023622047245,-0.11111111111111116,0.10399999999999998,0.8770491803278688,0.8879999999999999
null,256,5,0.9411764705882353,0.9960629921259843,0.0,3.188250560915094,3.2036177345344186,252,0,257,0.0,0.0,0.0,1.0,1.0
online_prc,256,5,0.9490196078431372,0.9960629921259843,0.0,2.5573706012688717,2.761578514398934,252,0,257,0.007843137254901933,0.0,0.0,1.0083333333333333,1.0
textseal,256,5,0.9137254901960784,0.984251968503937,0.007905138339920903,2.2735472409738335,2.6257920840016595,250,0,169,-0.027450980392156876,-0.011811023622047223,0.007905138339920903,0.9708333333333333,0.9881422924901186
synthid_text,256,5,0.9411764705882353,0.9881889763779528,0.0,2.9729383646899805,2.9102801779281435,252,0,257,0.0,-0.007874015748031482,0.0,1.0,0.9920948616600791
gumbel_max,256,5,0.8862745098039215,0.9251968503937008,0.06719367588932801,2.295149756759997,2.6494743652456236,235,0,114,-0.05490196078431375,-0.07086614173228345,0.06719367588932801,0.9416666666666667,0.9288537549407114
null,400,5,0.9223057644110275,0.9899497487437185,0.0,2.8852586540819347,2.9096052912920047,396,0,401,0.0,0.0,0.0,1.0,1.0
online_prc,400,5,0.9223057644110275,0.9899497487437185,0.0025188916876573986,2.661851788638669,2.823836661168607,395,0,384,0.0,0.0,0.0025188916876573986,1.0,1.0
textseal,400,5,0.7794486215538847,0.8467336683417085,0.1335012594458438,1.9865493796144074,2.0261662231804802,343,0,169,-0.1428571428571428,-0.14321608040201006,0.1335012594458438,0.845108695652174,0.8553299492385786
synthid_text,400,5,0.9147869674185464,0.9773869346733668,0.0025188916876573986,3.1370158062957487,3.0197883787716275,395,0,332,-0.007518796992481147,-0.012562814070351758,0.0025188916876573986,0.9918478260869565,0.9873096446700508
gumbel_max,400,5,0.5864661654135338,0.6030150753768844,0.39546599496221657,1.5860295520347427,1.9184400314872618,239,0,114,-0.3358395989974937,-0.3869346733668342,0.39546599496221657,0.6358695652173914,0.6091370558375634
null,512,5,0.8845401174168297,0.9686274509803922,0.00982318271119842,2.502351460498404,2.513245637760761,503,0,404,0.0,0.0,0.0,1.0,1.0
online_prc,512,5,0.913894324853229,0.9882352941176471,0.0019646365422396617,2.795295170669192,2.8619622602318486,507,0,384,0.02935420743639927,0.019607843137254943,-0.007858546168958758,1.0331858407079646,1.0202429149797572
textseal,512,5,0.6438356164383562,0.6980392156862745,0.2848722986247544,1.8630212416735787,1.9854728029406488,363,0,169,-0.2407045009784735,-0.2705882352941177,0.27504911591355596,0.7278761061946903,0.7206477732793521
synthid_text,512,5,0.9080234833659491,0.9745098039215686,0.007858546168958758,3.147997495822949,3.094874769526541,504,0,332,0.023483365949119372,0.00588235294117645,-0.0019646365422396617,1.0265486725663717,1.0060728744939271
gumbel_max,512,5,0.4598825831702544,0.47843137254901963,0.49901768172888017,1.380987544532736,1.5499493977333536,254,0,114,-0.4246575342465753,-0.49019607843137253,0.48919449901768175,0.5199115044247787,0.4939271255060729
null,768,5,0.8591916558018253,0.9373368146214099,0.039215686274509776,2.2389138572935083,2.2005897378968204,734,0,404,0.0,0.0,0.0,1.0,1.0
