method,sample_type,prompt_index,prompt_id,generation_seed,generated_token_hash,output_length,base_model_nll,base_model_perplexity,repetition_rate,repetition_metric,distinct_2,distinct_3,runtime_seconds
online_prc,watermarked,0,doc-0,12345,431c08844f8cfc72ab7bfccc4a921d7655e23b9edefed769da22c790c43631d7,1024,3.6250816980675182,37.52778898220148,0.016650342801175277,repeated token 4-gram fraction: 1 - unique_4grams/total_4grams,0.9022482893450635,0.9677103718199609,0.0
online_prc,watermarked,1,doc-4,12345,4ac52d5aa45232ade774ca3a35402ce7fd7a1c8b38e784c3870660c5ba9fa827,1024,3.0186681725326423,20.464018984382932,0.005876591576885359,repeated token 4-gram fraction: 1 - unique_4grams/total_4grams,0.9042033235581622,0.9814090019569471,0.0
online_prc,watermarked,2,doc-6,12345,cb08af772b3f0b368948bad0728541c16ec545d49f7f6b6c203e96a957028c35,1024,2.341525851463331,10.397088878796461,0.08031341821743387,repeated token 4-gram fraction: 1 - unique_4grams/total_4grams,0.7585532746823069,0.8796477495107632,0.0
online_prc,watermarked,3,doc-9,12345,e4498f0ba3c2599c0966e5659ba48b97d4a0ca183719b361de5c6842f91d2ced,1024,3.1956167932679023,24.425234367280854,0.0009794319294809117,repeated token 4-gram fraction: 1 - unique_4grams/total_4grams,0.9188660801564027,0.9941291585127201,0.0
online_prc,watermarked,4,doc-12,12345,88325d4e6955ac36b1cc584b3bdf2881a3ec1a22568cd3bdf260411af2c05bf8,1024,3.5575510042276868,35.077187984979226,0.0,repeated token 4-gram fraction: 1 - unique_4grams/total_4grams,0.9491691104594331,0.9941291585127201,0.0
online_prc,null,0,doc-0,12345,8d4b878c78d0662ba43f9dc15be44a00c6f9b7853983b1a1d818c693ce5ce749,1024,1.3796048329115642,3.9733311875053277,0.1547502448579824,repeated token 4-gram fraction: 1 - unique_4grams/total_4grams,0.696969696969697,0.7935420743639922,0.0
online_prc,null,1,doc-4,12345,a783aa7f56ccc7510b60359019bb2dd7ec3c675f17c9cfa8858e6a3ac373d1f7,1024,1.5279522519444488,4.608729635721916,0.09990205680705189,repeated token 4-gram fraction: 1 - unique_4grams/total_4grams,0.7214076246334311,0.8454011741682974,0.0
online_prc,null,2,doc-6,12345,3111a32e14ae7059d4c84b297b7e5c1db352d21d8b5f56cd8d331cfe7ce017b3,1024,3.360953776730298,28.816662438371782,0.0019588638589618235,repeated token 4-gram fraction: 1 - unique_4grams/total_4grams,0.8993157380254154,0.9902152641878669,0.0
online_prc,null,3,doc-9,12345,f56042bda26e2af5129288861a3b0730ae27fbe0cc06de1e324fd6a1b6d52f47,1024,2.334603604011212,10.32536618431285,0.03525954946131249,repeated token 4-gram fraction: 1 - unique_4grams/total_4grams,0.8484848484848485,0.9383561643835616,0.0
online_prc,null,4,doc-12,12345,cc61d257ca13ff135ac1b5308b073b6f33e20d61bcb14573129f37ed2b0232ae,1024,3.6583263912353416,38.79635858160327,0.0009794319294809117,repeated token 4-gram fraction: 1 - unique_4grams/total_4grams,0.9305962854349951,0.9931506849315068,0.0
textseal,watermarked,0,doc-0,12345,9ba8bf492af2761e04ad680f53b488a6d7db93a7fe8e465f311d7674408ffdcb,1024,0.7293060392114692,2.073641082644089,0.6699314397649363,repeated token 4-gram fraction: 1 - unique_4grams/total_4grams,0.29227761485826004,0.31800391389432486,7.401238434
textseal,watermarked,1,doc-4,12345,900adf7c596b4ab1ed83b7029141a2ea46d9d2ec6d99c7280eb313732e4a704c,1024,1.656196719933856,5.239346201979528,0.21743388834476007,repeated token 4-gram fraction: 1 - unique_4grams/total_4grams,0.6852394916911045,0.7622309197651663,7.401238434
textseal,watermarked,2,doc-6,12345,308b4ec6513ad72f4d78a9be1a04d4efbf24677c910ad52c6bc0a9382a3b179a,1024,1.8103628741752302,6.112665158156266,0.15279138099902057,repeated token 4-gram fraction: 1 - unique_4grams/total_4grams,0.7233626588465298,0.8111545988258317,7.401238434
textseal,watermarked,3,doc-9,12345,b313af23c2f0d03224ba18e7ca97593e0175b5aa7add10d9c7aba9f2f30dfb49,1024,0.9605985434379323,2.613260155128185,0.6405484818805093,repeated token 4-gram fraction: 1 - unique_4grams/total_4grams,0.3225806451612903,0.350293542074364,7.401238434
textseal,watermarked,4,doc-12,12345,9802c35f9749d6b56cad53e7a2a88d21ef6ff2ad065cb89fd672adb135c813e4,1024,0.6547817737626941,1.924722446605417,0.7786483839373164,repeated token 4-gram fraction: 1 - unique_4grams/total_4grams,0.20234604105571846,0.21526418786692758,7.401238434
textseal,null,0,doc-0,12345,8d4b878c78d0662ba43f9dc15be44a00c6f9b7853983b1a1d818c693ce5ce749,1024,1.3796048329115642,3.9733311875053277,0.1547502448579824,repeated token 4-gram fraction: 1 - unique_4grams/total_4grams,0.696969696969697,0.7935420743639922,0.0
textseal,null,1,doc-4,12345,a783aa7f56ccc7510b60359019bb2dd7ec3c675f17c9cfa8858e6a3ac373d1f7,1024,1.5279522519444488,4.608729635721916,0.09990205680705189,repeated token 4-gram fraction: 1 - unique_4grams/total_4grams,0.7214076246334311,0.8454011741682974,0.0
textseal,null,2,doc-6,12345,3111a32e14ae7059d4c84b297b7e5c1db352d21d8b5f56cd8d331cfe7ce017b3,1024,3.360953776730298,28.816662438371782,0.0019588638589618235,repeated token 4-gram fraction: 1 - unique_4grams/total_4grams,0.8993157380254154,0.9902152641878669,0.0
textseal,null,3,doc-9,12345,f56042bda26e2af5129288861a3b0730ae27fbe0cc06de1e324fd6a1b6d52f47,1024,2.334603604011212,10.32536618431285,0.03525954946131249,repeated token 4-gram fraction: 1 - unique_4grams/total_4grams,0.8484848484848485,0.9383561643835616,0.0
textseal,null,4,doc-12,12345,cc61d257ca13ff135ac1b5308b073b6f33e20d61bcb14573129f37ed2b0232ae,1024,3.6583263912353416,38.79635858160327,0.0009794319294809117,repeated token 4-gram fraction: 1 - unique_4grams/total_4grams,0.9305962854349951,0.9931506849315068,0.0
synthid_text,watermarked,0,doc-0,12345,f219744d0bd0d495734a3a80b042d83fcd08709560f35f939028274a38d57eb7,1024,3.1678539715690306,23.756447600881344,0.006856023506366271,repeated token 4-gram fraction: 1 - unique_4grams/total_4grams,0.9159335288367546,0.9804305283757339,8.100782993
synthid_text,watermarked,1,doc-4,12345,eee63833bd9b1c19d3398f6a2be6b05b79ad950c2034b73670b52501aabacc50,1024,2.3943060627038477,10.960589457627124,0.021547502448579836,repeated token 4-gram fraction: 1 - unique_4grams/total_4grams,0.8455522971652004,0.9471624266144814,8.100782993
synthid_text,watermarked,2,doc-6,12345,1944a10e35a18519d06e499ed1cf29a2bde1fffcc66d67530dce47da0c6ca0fb,1024,2.9355469511333574,18.831800393447754,0.02448579823702257,repeated token 4-gram fraction: 1 - unique_4grams/total_4grams,0.852394916911046,0.9481409001956947,8.100782993
synthid_text,watermarked,3,doc-9,12345,88b0957372a2bc2156d5818c27cf3c8a9cce455ecaf5220e5e3390e3de3c3cd6,1024,3.545085637739561,34.64265193363694,0.012732615083251742,repeated token 4-gram fraction: 1 - unique_4grams/total_4grams,0.9198435972629521,0.9794520547945206,8.100782993
synthid_text,watermarked,4,doc-12,12345,dfab00f3034ecd9fea4a792b45c0df74127f66960781c6173bb2015c0e8f5355,1024,3.4142947622262483,30.395505808180545,0.002938295788442735,repeated token 4-gram fraction: 1 - unique_4grams/total_4grams,0.8963831867057673,0.9833659491193738,8.100782993
synthid_text,null,0,doc-0,12345,8d4b878c78d0662ba43f9dc15be44a00c6f9b7853983b1a1d818c693ce5ce749,1024,1.3796048329115642,3.9733311875053277,0.1547502448579824,repeated token 4-gram fraction: 1 - unique_4grams/total_4grams,0.696969696969697,0.7935420743639922,0.0
