cell_id,model,eta,n,detector,num_prompts,fixed_tp,online_tp,fixed_tpr,online_tpr,difference_fixed_minus_online,difference_percentage_points,bootstrap_ci_low,bootstrap_ci_high,bootstrap_resamples,bootstrap_seed,fixed_1_online_0,fixed_0_online_1,discordant_total,mcnemar_p_exact,mcnemar_p_holm,smallest_meaningful_difference,interpretation
qwen3_0p6b_eta0p05_n448,Qwen3-0.6B-Base,0.05,448,map,500,466,455,0.932,0.91,0.022,2.1999999999999997,-0.012,0.056,10000,5047562663755556287,42,31,73,0.24164472314075197,1.0,0.05,inconclusive
qwen3_0p6b_eta0p05_n448,Qwen3-0.6B-Base,0.05,448,entropy,500,399,388,0.798,0.776,0.022,2.1999999999999997,-0.028,0.074,10000,12127469092653727137,89,78,167,0.4391289287803373,1.0,0.05,inconclusive
qwen3_0p6b_eta0p05_n448,Qwen3-0.6B-Base,0.05,448,naive,500,291,260,0.582,0.52,0.062,6.2,0.002,0.122,10000,9313320885161287924,134,103,237,0.05110053665041311,0.970910196357849,0.05,fixed_better
qwen3_0p6b_eta0p15_n1504,Qwen3-0.6B-Base,0.15,1504,map,500,455,453,0.91,0.906,0.004,0.4,-0.03,0.04,10000,10730271021311970905,39,37,76,0.9087769252754921,1.0,0.05,practically_equivalent
qwen3_0p6b_eta0p15_n1504,Qwen3-0.6B-Base,0.15,1504,entropy,500,424,398,0.848,0.796,0.052,5.2,0.008,0.096,10000,5002522244050485745,79,53,132,0.029171626999401616,0.5834325399880324,0.05,fixed_better
qwen3_0p6b_eta0p15_n1504,Qwen3-0.6B-Base,0.15,1504,naive,500,341,279,0.682,0.558,0.124,12.4,0.064,0.182,10000,4033527620306801964,147,85,232,5.6483643060518864e-05,0.0011861565042708961,0.05,fixed_better
qwen3_8b_eta0p05_n416,Qwen3-8B-Base,0.05,416,map,500,348,341,0.696,0.682,0.014,1.4000000000000001,-0.042,0.07,10000,7704273331446703005,106,99,205,0.6752771314199632,1.0,0.05,inconclusive
qwen3_8b_eta0p05_n416,Qwen3-8B-Base,0.05,416,entropy,500,224,240,0.448,0.48,-0.032,-3.2,-0.09,0.028,10000,8153959560810135143,107,123,230,0.3226333597935477,1.0,0.05,inconclusive
qwen3_8b_eta0p05_n416,Qwen3-8B-Base,0.05,416,naive,500,105,104,0.21,0.208,0.002,0.2,-0.046,0.048,10000,5872030023972572378,73,72,145,1.0,1.0,0.05,practically_equivalent
qwen3_8b_eta0p05_n749,Qwen3-8B-Base,0.05,749,map,500,455,465,0.91,0.93,-0.02,-2.0,-0.052,0.012,10000,12747116561790756883,27,37,64,0.2604354765766535,1.0,0.05,inconclusive
qwen3_8b_eta0p05_n749,Qwen3-8B-Base,0.05,749,entropy,500,395,394,0.79,0.788,0.002,0.2,-0.046,0.05,10000,11863858246376863301,78,77,155,1.0,1.0,0.05,practically_equivalent
qwen3_8b_eta0p05_n749,Qwen3-8B-Base,0.05,749,naive,500,245,233,0.49,0.466,0.024,2.4,-0.034,0.082,10000,1338068066970606248,116,104,220,0.4583954290834465,1.0,0.05,inconclusive
qwen3_8b_eta0p10_n768,Qwen3-8B-Base,0.1,768,map,500,332,343,0.664,0.686,-0.022,-2.1999999999999997,-0.07804999999999956,0.036,10000,17929176516412498583,99,110,209,0.4892082211492675,1.0,0.05,inconclusive
qwen3_8b_eta0p10_n768,Qwen3-8B-Base,0.1,768,entropy,500,230,227,0.46,0.454,0.006,0.6,-0.054,0.066,10000,1540948730232406426,116,113,229,0.8948924092509124,1.0,0.05,inconclusive
qwen3_8b_eta0p10_n768,Qwen3-8B-Base,0.1,768,naive,500,106,89,0.212,0.178,0.034,3.4000000000000004,-0.014,0.082,10000,2585603927038600636,85,68,153,0.19566754746910364,1.0,0.05,inconclusive
qwen3_8b_eta0p10_n1382,Qwen3-8B-Base,0.1,1382,map,500,430,449,0.86,0.898,-0.038,-3.8,-0.074,0.0,10000,7095782910671011355,38,57,95,0.06421280662713101,1.0,0.05,inconclusive
qwen3_8b_eta0p10_n1382,Qwen3-8B-Base,0.1,1382,entropy,500,387,394,0.774,0.788,-0.014,-1.4000000000000001,-0.064,0.036,10000,4786057212371893119,75,82,157,0.6321848782933385,1.0,0.05,inconclusive
qwen3_8b_eta0p10_n1382,Qwen3-8B-Base,0.1,1382,naive,500,259,231,0.518,0.462,0.056,5.6000000000000005,-0.002,0.114,10000,13968674403102737236,125,97,222,0.06972701006096343,1.0,0.05,inconclusive
qwen3_8b_eta0p10_n1625,Qwen3-8B-Base,0.1,1625,map,500,446,462,0.892,0.924,-0.032,-3.2,-0.064,0.0,10000,7767533592587694390,28,44,72,0.07636915467183139,1.0,0.05,inconclusive
qwen3_8b_eta0p10_n1625,Qwen3-8B-Base,0.1,1625,entropy,500,413,420,0.826,0.84,-0.014,-1.4000000000000001,-0.054,0.028,10000,2727475047007047938,53,60,113,0.5726564757939473,1.0,0.05,inconclusive
qwen3_8b_eta0p10_n1625,Qwen3-8B-Base,0.1,1625,naive,500,300,273,0.6,0.546,0.054,5.4,-0.004,0.112,10000,1390798840127889237,120,93,213,0.07458460791806121,1.0,0.05,inconclusive
