eta,T,N,generation_model,protocol,8B_map_detected,0.6B_map_detected,8B_map_TPR_percent,0.6B_map_TPR_percent,map_change_pp,8B_entropy_detected,0.6B_entropy_detected,8B_entropy_TPR_percent,0.6B_entropy_TPR_percent,entropy_change_pp
0.05,1280,500,Qwen3-8B-Base,completion_only_raw_abstain_v1,481,463,96.2,92.6,-3.6,450,434,90.0,86.8,-3.2
0.05,1264,500,Qwen3-8B-Base,completion_only_raw_abstain_v1,481,463,96.2,92.6,-3.6,449,431,89.8,86.2,-3.6
0.05,1248,500,Qwen3-8B-Base,completion_only_raw_abstain_v1,480,461,96.0,92.2,-3.8,444,427,88.8,85.4,-3.4
0.05,1232,500,Qwen3-8B-Base,completion_only_raw_abstain_v1,479,458,95.8,91.6,-4.2,443,425,88.6,85.0,-3.6
0.05,1216,500,Qwen3-8B-Base,completion_only_raw_abstain_v1,479,457,95.8,91.4,-4.4,443,425,88.6,85.0,-3.6
0.05,1200,500,Qwen3-8B-Base,completion_only_raw_abstain_v1,478,456,95.6,91.2,-4.4,444,425,88.8,85.0,-3.8
0.05,1184,500,Qwen3-8B-Base,completion_only_raw_abstain_v1,478,455,95.6,91.0,-4.6,442,419,88.4,83.8,-4.6
0.05,1168,500,Qwen3-8B-Base,completion_only_raw_abstain_v1,477,454,95.4,90.8,-4.6,440,417,88.0,83.4,-4.6
0.05,1152,500,Qwen3-8B-Base,completion_only_raw_abstain_v1,476,453,95.2,90.6,-4.6,439,416,87.8,83.2,-4.6
0.05,1136,500,Qwen3-8B-Base,completion_only_raw_abstain_v1,475,450,95.0,90.0,-5.0,437,414,87.4,82.8,-4.6
0.05,1120,500,Qwen3-8B-Base,completion_only_raw_abstain_v1,474,451,94.8,90.2,-4.6,441,417,88.2,83.4,-4.8
0.05,1104,500,Qwen3-8B-Base,completion_only_raw_abstain_v1,474,451,94.8,90.2,-4.6,434,410,86.8,82.0,-4.8
0.05,1088,500,Qwen3-8B-Base,completion_only_raw_abstain_v1,472,451,94.4,90.2,-4.2,434,407,86.8,81.4,-5.4
0.05,1072,500,Qwen3-8B-Base,completion_only_raw_abstain_v1,469,446,93.8,89.2,-4.6,429,407,85.8,81.4,-4.4
0.05,1056,500,Qwen3-8B-Base,completion_only_raw_abstain_v1,469,446,93.8,89.2,-4.6,430,403,86.0,80.6,-5.4
0.05,1040,500,Qwen3-8B-Base,completion_only_raw_abstain_v1,468,444,93.6,88.8,-4.8,427,402,85.4,80.4,-5.0
0.05,1024,500,Qwen3-8B-Base,completion_only_raw_abstain_v1,466,440,93.2,88.0,-5.2,422,396,84.4,79.2,-5.2
0.05,1008,500,Qwen3-8B-Base,completion_only_raw_abstain_v1,464,439,92.8,87.8,-5.0,421,397,84.2,79.4,-4.8
0.05,992,500,Qwen3-8B-Base,completion_only_raw_abstain_v1,465,439,93.0,87.8,-5.2,421,399,84.2,79.8,-4.4
0.05,976,500,Qwen3-8B-Base,completion_only_raw_abstain_v1,465,435,93.0,87.0,-6.0,416,393,83.2,78.6,-4.6
0.05,960,500,Qwen3-8B-Base,completion_only_raw_abstain_v1,464,433,92.8,86.6,-6.2,413,389,82.6,77.8,-4.8
0.05,944,500,Qwen3-8B-Base,completion_only_raw_abstain_v1,459,428,91.8,85.6,-6.2,414,385,82.8,77.0,-5.8
0.05,928,500,Qwen3-8B-Base,completion_only_raw_abstain_v1,457,426,91.4,85.2,-6.2,408,386,81.6,77.2,-4.4
0.05,912,500,Qwen3-8B-Base,completion_only_raw_abstain_v1,457,428,91.4,85.6,-5.8,408,385,81.6,77.0,-4.6
0.05,896,500,Qwen3-8B-Base,completion_only_raw_abstain_v1,454,423,90.8,84.6,-6.2,410,386,82.0,77.2,-4.8
0.05,880,500,Qwen3-8B-Base,completion_only_raw_abstain_v1,452,419,90.4,83.8,-6.6,404,381,80.8,76.2,-4.6
0.05,864,500,Qwen3-8B-Base,completion_only_raw_abstain_v1,450,416,90.0,83.2,-6.8,397,380,79.4,76.0,-3.4
0.05,848,500,Qwen3-8B-Base,completion_only_raw_abstain_v1,448,411,89.6,82.2,-7.4,392,378,78.4,75.6,-2.8
0.05,768,500,Qwen3-8B-Base,completion_only_raw_abstain_v1,436,397,87.2,79.4,-7.8,379,348,75.8,69.6,-6.2
0.05,512,500,Qwen3-8B-Base,completion_only_raw_abstain_v1,345,290,69.0,58.0,-11.0,259,226,51.8,45.2,-6.6
0.05,400,500,Qwen3-8B-Base,completion_only_raw_abstain_v1,274,226,54.8,45.2,-9.6,208,174,41.6,34.8,-6.8
0.05,256,500,Qwen3-8B-Base,completion_only_raw_abstain_v1,151,126,30.2,25.2,-5.0,103,84,20.6,16.8,-3.8
0.05,128,500,Qwen3-8B-Base,completion_only_raw_abstain_v1,46,37,9.2,7.4,-1.8,35,30,7.0,6.0,-1.0
0.1,3072,500,Qwen3-8B-Base,completion_only_raw_abstain_v1,471,454,94.2,90.8,-3.4,455,440,91.0,88.0,-3.0
0.1,3056,500,Qwen3-8B-Base,completion_only_raw_abstain_v1,471,454,94.2,90.8,-3.4,455,438,91.0,87.6,-3.4
0.1,3040,500,Qwen3-8B-Base,completion_only_raw_abstain_v1,471,454,94.2,90.8,-3.4,454,436,90.8,87.2,-3.6
0.1,3024,500,Qwen3-8B-Base,completion_only_raw_abstain_v1,471,454,94.2,90.8,-3.4,454,434,90.8,86.8,-4.0
0.1,3008,500,Qwen3-8B-Base,completion_only_raw_abstain_v1,471,454,94.2,90.8,-3.4,455,433,91.0,86.6,-4.4
