n,T,r,free_coordinates,tp,watermarked_total,tpr,above_target,target_map_tpr,prefix_online_support_sha256,source_T,source_tag
14336,14336,14193,143,453,500,0.906,True,0.9,4ad6713cb23104c4168beb04b27d46f14cc994584feebaaeea13e0dba9677029,14336,online_causal_prc_v1/qwen3_8b_base/n14336_T14336_t3_eta0.20_rr99of100_sampler-poscdf-v1_kvcache-static-v1
14320,14320,14177,143,454,500,0.908,True,0.9,f1ed47abe4bbedbc9a8c08c92db008f5c161402b7e65688fca0acd6ed694c12f,14336,online_causal_prc_v1/qwen3_8b_base/n14336_T14336_t3_eta0.20_rr99of100_sampler-poscdf-v1_kvcache-static-v1
14304,14304,14161,143,454,500,0.908,True,0.9,ead7fdf482ca2227fc37cc5b3c84a1db1b8a83042f4865f1f882f4674e7fdd6e,14336,online_causal_prc_v1/qwen3_8b_base/n14336_T14336_t3_eta0.20_rr99of100_sampler-poscdf-v1_kvcache-static-v1
14288,14288,14145,143,454,500,0.908,True,0.9,c913297642e1f34e6d4936212c8c873c8e013ba4a4f3d129793b26e1da8a4a0a,14336,online_causal_prc_v1/qwen3_8b_base/n14336_T14336_t3_eta0.20_rr99of100_sampler-poscdf-v1_kvcache-static-v1
14272,14272,14129,143,454,500,0.908,True,0.9,3d7de718c0a389e55525d3236f8e424d40da135eef9522c6599f62fb733f355e,14336,online_causal_prc_v1/qwen3_8b_base/n14336_T14336_t3_eta0.20_rr99of100_sampler-poscdf-v1_kvcache-static-v1
14256,14256,14113,143,454,500,0.908,True,0.9,5dceeb5eb7c342fba79e207668891b96f072e3756c3bdae61a1962ebb5ac1113,14336,online_causal_prc_v1/qwen3_8b_base/n14336_T14336_t3_eta0.20_rr99of100_sampler-poscdf-v1_kvcache-static-v1
14240,14240,14098,142,454,500,0.908,True,0.9,4df195e758a1d6b3ad4b5518611e39d37482c9c4c5abb231e7263c5c4cb7e4f6,14336,online_causal_prc_v1/qwen3_8b_base/n14336_T14336_t3_eta0.20_rr99of100_sampler-poscdf-v1_kvcache-static-v1
14224,14224,14082,142,454,500,0.908,True,0.9,271a951d5b9248f0cb9cdb70c7fec9c3eff5d115b8caeddba1bca2e9e1abcf5b,14336,online_causal_prc_v1/qwen3_8b_base/n14336_T14336_t3_eta0.20_rr99of100_sampler-poscdf-v1_kvcache-static-v1
14208,14208,14066,142,454,500,0.908,True,0.9,aa2e5afc63c2f7db10621555ffc0f174e30bdee270febce7b0570b669b17e5af,14336,online_causal_prc_v1/qwen3_8b_base/n14336_T14336_t3_eta0.20_rr99of100_sampler-poscdf-v1_kvcache-static-v1
14192,14192,14050,142,454,500,0.908,True,0.9,4feacb8b8cca78c2bda672dd49a3ae0a640c2a5a459dac46b4e6ec9811ebcc49,14336,online_causal_prc_v1/qwen3_8b_base/n14336_T14336_t3_eta0.20_rr99of100_sampler-poscdf-v1_kvcache-static-v1
14176,14176,14034,142,454,500,0.908,True,0.9,5c88779e29c5c43171687b6f179a294fa35681af0c43b0380d1f2d071b0b7f42,14336,online_causal_prc_v1/qwen3_8b_base/n14336_T14336_t3_eta0.20_rr99of100_sampler-poscdf-v1_kvcache-static-v1
14160,14160,14018,142,454,500,0.908,True,0.9,fe1952a925646827a1afb594a17df0b9ab4af70af58dc8aae36b6f7e238c4e0c,14336,online_causal_prc_v1/qwen3_8b_base/n14336_T14336_t3_eta0.20_rr99of100_sampler-poscdf-v1_kvcache-static-v1
14144,14144,14003,141,455,500,0.91,True,0.9,a787297cd1ab37d34bef93014da7afb7b41827501258bf4e987bbe9239437867,14336,online_causal_prc_v1/qwen3_8b_base/n14336_T14336_t3_eta0.20_rr99of100_sampler-poscdf-v1_kvcache-static-v1
14128,14128,13987,141,454,500,0.908,True,0.9,968bbf30b65a6d2b56f456a24aad6318de6918c7684710ae722e08dee7a10267,14336,online_causal_prc_v1/qwen3_8b_base/n14336_T14336_t3_eta0.20_rr99of100_sampler-poscdf-v1_kvcache-static-v1
