n,T,r,free_coordinates,tp,watermarked_total,tpr,above_target,target_map_tpr,prefix_online_support_sha256,source_T,source_tag
2048,2048,2028,20,484,500,0.968,True,0.9,f2135d78a6d5cbe626b63ff3e45371579d756fc3292ae0ac6faaf1478d6519b0,2048,online_causal_prc_v1/qwen3_0p6b_base/n2048_T2048_t3_eta0.15_rr99of100_sampler-poscdf-v1
2032,2032,2012,20,484,500,0.968,True,0.9,bde7945ac7ffd7bd76cc945b12788607f8571d865aef14972f1886e228bb7a0e,2048,online_causal_prc_v1/qwen3_0p6b_base/n2048_T2048_t3_eta0.15_rr99of100_sampler-poscdf-v1
2016,2016,1996,20,484,500,0.968,True,0.9,fd3954f2780ed7708ee9f1fb2ad851fca5234e79d00db941fd74be1617863c35,2048,online_causal_prc_v1/qwen3_0p6b_base/n2048_T2048_t3_eta0.15_rr99of100_sampler-poscdf-v1
2000,2000,1980,20,482,500,0.964,True,0.9,415c251324f3b9ac30d11d9b84f8fc179240949b51f52f3b6ee5065e6b8a879d,2048,online_causal_prc_v1/qwen3_0p6b_base/n2048_T2048_t3_eta0.15_rr99of100_sampler-poscdf-v1
1984,1984,1964,20,481,500,0.962,True,0.9,d2f1c78a619d8db28532f464930b43896d927b267e1bcf85bf9622009687d8f3,2048,online_causal_prc_v1/qwen3_0p6b_base/n2048_T2048_t3_eta0.15_rr99of100_sampler-poscdf-v1
1968,1968,1948,20,480,500,0.96,True,0.9,a7aaef3cee072b9990c90ef533e1af27a4d0b42629191486ced94d635a154f9c,2048,online_causal_prc_v1/qwen3_0p6b_base/n2048_T2048_t3_eta0.15_rr99of100_sampler-poscdf-v1
1952,1952,1932,20,479,500,0.958,True,0.9,95aebe22ac40cdce840daa38a4ea96e7c38abbfe2a265d492de1d2e9a691cce0,2048,online_causal_prc_v1/qwen3_0p6b_base/n2048_T2048_t3_eta0.15_rr99of100_sampler-poscdf-v1
1936,1936,1917,19,479,500,0.958,True,0.9,b80705ab22495dc68013a5a03910f3424a9b6061f7c59590fb1d9969f2ee6c3f,2048,online_causal_prc_v1/qwen3_0p6b_base/n2048_T2048_t3_eta0.15_rr99of100_sampler-poscdf-v1
1920,1920,1901,19,481,500,0.962,True,0.9,d1ec26e9161ca5aac42d3e50b50e3ed9e1acfa15444578c3b2c1a377fd27070e,2048,online_causal_prc_v1/qwen3_0p6b_base/n2048_T2048_t3_eta0.15_rr99of100_sampler-poscdf-v1
1904,1904,1885,19,480,500,0.96,True,0.9,62fa34f86dd3bb8ba4dcc19372b3a8b93eb30b6e053729e42d4c924ba9846c30,2048,online_causal_prc_v1/qwen3_0p6b_base/n2048_T2048_t3_eta0.15_rr99of100_sampler-poscdf-v1
1888,1888,1869,19,477,500,0.954,True,0.9,d88778792d68ec470299df286a5d46fa8b780d12d13a7b9a77e4139412f0c09b,2048,online_causal_prc_v1/qwen3_0p6b_base/n2048_T2048_t3_eta0.15_rr99of100_sampler-poscdf-v1
1872,1872,1853,19,478,500,0.956,True,0.9,3c8c8ee095fd0c7678e3f14847a3932227c7d4fe8daebf1d91319c23d9de7c15,2048,online_causal_prc_v1/qwen3_0p6b_base/n2048_T2048_t3_eta0.15_rr99of100_sampler-poscdf-v1
1856,1856,1837,19,478,500,0.956,True,0.9,ab43b6d09880eeba957641caf462732cfa4b987c7a41fdb7a1df8ad26f06c4aa,2048,online_causal_prc_v1/qwen3_0p6b_base/n2048_T2048_t3_eta0.15_rr99of100_sampler-poscdf-v1
1840,1840,1822,18,477,500,0.954,True,0.9,702d7552ec7436bd7cb99999820629edd3eaca7861ad310132060bb5568db6fd,2048,online_causal_prc_v1/qwen3_0p6b_base/n2048_T2048_t3_eta0.15_rr99of100_sampler-poscdf-v1
1824,1824,1806,18,477,500,0.954,True,0.9,6c4a8c41f8b9aca1de078f16e113a7261b073473a54e15aa4c7dd508b2ba2460,2048,online_causal_prc_v1/qwen3_0p6b_base/n2048_T2048_t3_eta0.15_rr99of100_sampler-poscdf-v1
