n,T,r,free_coordinates,tp,watermarked_total,tpr,above_target,target_map_tpr,prefix_online_support_sha256,source_T,source_tag
4096,4096,4055,41,448,500,0.896,False,0.9,8a911cec8c024db1dba8130db64539cb3b0ae94f3d498231b465f7d3af38e2de,4096,online_causal_prc_v1/qwen3_8b_base/n4096_T4096_t3_eta0.15_rr99of100_sampler-poscdf-v1
4080,4080,4039,41,447,500,0.894,False,0.9,c47109f5a5e1f5ff0462a99973b0d8fb7566518976e1d8f5240d539b946f2a15,4096,online_causal_prc_v1/qwen3_8b_base/n4096_T4096_t3_eta0.15_rr99of100_sampler-poscdf-v1
4064,4064,4023,41,448,500,0.896,False,0.9,f22479c8bd134b1a5de83ebf7b2bf9ff95156328c5eeaae388c57f18686892ab,4096,online_causal_prc_v1/qwen3_8b_base/n4096_T4096_t3_eta0.15_rr99of100_sampler-poscdf-v1
4048,4048,4008,40,446,500,0.892,False,0.9,c106513fed13a011dcab260f11cfc7c6e58facc6682ebc5172917ca743b67120,4096,online_causal_prc_v1/qwen3_8b_base/n4096_T4096_t3_eta0.15_rr99of100_sampler-poscdf-v1
4032,4032,3992,40,446,500,0.892,False,0.9,25403d7fdbcbe2eac2c43f759ec335f44cd59337f881e122629bfc2fae5245ba,4096,online_causal_prc_v1/qwen3_8b_base/n4096_T4096_t3_eta0.15_rr99of100_sampler-poscdf-v1
4016,4016,3976,40,446,500,0.892,False,0.9,f55982fb7b3fb1e58a8581b775e95f9a853a72516bae01af9662a9ec907f9afb,4096,online_causal_prc_v1/qwen3_8b_base/n4096_T4096_t3_eta0.15_rr99of100_sampler-poscdf-v1
4000,4000,3960,40,447,500,0.894,False,0.9,78b76852aa7bd03dd19fdcbfbae903c1dd697bda58212edbaab1d417e2e6c682,4096,online_causal_prc_v1/qwen3_8b_base/n4096_T4096_t3_eta0.15_rr99of100_sampler-poscdf-v1
3984,3984,3944,40,447,500,0.894,False,0.9,f84821b959efd29f193954668b3c9159d7897ed2bfa8ff0450914e8afd0ed141,4096,online_causal_prc_v1/qwen3_8b_base/n4096_T4096_t3_eta0.15_rr99of100_sampler-poscdf-v1
3968,3968,3928,40,447,500,0.894,False,0.9,2c43dfff55c8e6d7ce695fc427287a732f435f9c23e9383bf22b280fa9f5824e,4096,online_causal_prc_v1/qwen3_8b_base/n4096_T4096_t3_eta0.15_rr99of100_sampler-poscdf-v1
3952,3952,3912,40,448,500,0.896,False,0.9,3efdb8cc80cda7c468b34a5358a5350e41e71189048413229fbd7633d4058f8c,4096,online_causal_prc_v1/qwen3_8b_base/n4096_T4096_t3_eta0.15_rr99of100_sampler-poscdf-v1
3936,3936,3897,39,448,500,0.896,False,0.9,96ac8fa2818fe4ee9d6bfbc9cb2facdc25c435db7c1972f28a4a71724ea184bd,4096,online_causal_prc_v1/qwen3_8b_base/n4096_T4096_t3_eta0.15_rr99of100_sampler-poscdf-v1
3920,3920,3881,39,447,500,0.894,False,0.9,767af0975538d8d5d6201ebc2fee2a34493fe674e34ff72a9b593473a4e7f5d7,4096,online_causal_prc_v1/qwen3_8b_base/n4096_T4096_t3_eta0.15_rr99of100_sampler-poscdf-v1
3904,3904,3865,39,447,500,0.894,False,0.9,dd7c600aed2ba38fa71affa9295de3ef2d6c4c10dbe59cc12f0536dcec5b2067,4096,online_causal_prc_v1/qwen3_8b_base/n4096_T4096_t3_eta0.15_rr99of100_sampler-poscdf-v1
3888,3888,3849,39,448,500,0.896,False,0.9,0bd20f758300e0573249ad6677fb0472b042a429cc343286c2fad439c3c4b287,4096,online_causal_prc_v1/qwen3_8b_base/n4096_T4096_t3_eta0.15_rr99of100_sampler-poscdf-v1
3872,3872,3833,39,446,500,0.892,False,0.9,377363c8b31f7290ea16861d1deb3dcbc0f0fec0cee4961e6b3c4796b8b8bae8,4096,online_causal_prc_v1/qwen3_8b_base/n4096_T4096_t3_eta0.15_rr99of100_sampler-poscdf-v1
3856,3856,3817,39,446,500,0.892,False,0.9,3035a710cd20f48e8338ca94f13295734268e31dc72b27fb3853c3636d2be50c,4096,online_causal_prc_v1/qwen3_8b_base/n4096_T4096_t3_eta0.15_rr99of100_sampler-poscdf-v1
3840,3840,3802,38,446,500,0.892,False,0.9,0df20c3dabad25c5c1cca3950758f5686ec4f1bcf3491f218624a46497419d95,4096,online_causal_prc_v1/qwen3_8b_base/n4096_T4096_t3_eta0.15_rr99of100_sampler-poscdf-v1
3824,3824,3786,38,446,500,0.892,False,0.9,0a3acef792e1d0a2330fd74b3084cd6d2f9df7ab578487dbac8da7db7620c50d,4096,online_causal_prc_v1/qwen3_8b_base/n4096_T4096_t3_eta0.15_rr99of100_sampler-poscdf-v1
3808,3808,3770,38,446,500,0.892,False,0.9,49bb0e133aecb3d5833100b80b5eb0433138345da5047f73ce2f15514f546a57,4096,online_causal_prc_v1/qwen3_8b_base/n4096_T4096_t3_eta0.15_rr99of100_sampler-poscdf-v1
3792,3792,3754,38,447,500,0.894,False,0.9,629f2b4b602eb3ab8de3a110323184909290515429f9addacccdacdad5893114,4096,online_causal_prc_v1/qwen3_8b_base/n4096_T4096_t3_eta0.15_rr99of100_sampler-poscdf-v1
3776,3776,3738,38,447,500,0.894,False,0.9,8acd5e696797d7b85c637ad2386e450a7703ba89a685a2f81555b127e94b8ce9,4096,online_causal_prc_v1/qwen3_8b_base/n4096_T4096_t3_eta0.15_rr99of100_sampler-poscdf-v1
3760,3760,3722,38,447,500,0.894,False,0.9,8be3ce5ea3bea22bb23c6471abdb9521dfe8b05bfe9106338d21fdafa1286435,4096,online_causal_prc_v1/qwen3_8b_base/n4096_T4096_t3_eta0.15_rr99of100_sampler-poscdf-v1
3744,3744,3707,37,446,500,0.892,False,0.9,d302e7616b128d726d84be32bd9e4ef92a5e105229e1ba09c310a8179831c010,4096,online_causal_prc_v1/qwen3_8b_base/n4096_T4096_t3_eta0.15_rr99of100_sampler-poscdf-v1
3728,3728,3691,37,446,500,0.892,False,0.9,ced4f86a6abe384faad0f53eb263fa56f9d44c9f4a126cfda3d5c98d1e7d42e3,4096,online_causal_prc_v1/qwen3_8b_base/n4096_T4096_t3_eta0.15_rr99of100_sampler-poscdf-v1
3712,3712,3675,37,447,500,0.894,False,0.9,887006d0d33861c7d48797bce458486e9a58708bcd294a561d7959265c0d97d8,4096,online_causal_prc_v1/qwen3_8b_base/n4096_T4096_t3_eta0.15_rr99of100_sampler-poscdf-v1
3696,3696,3659,37,445,500,0.89,False,0.9,c0d76ddf6497f1355e55af68aeedc74d56016de9a984c4b974818ea8d132cce3,4096,online_causal_prc_v1/qwen3_8b_base/n4096_T4096_t3_eta0.15_rr99of100_sampler-poscdf-v1
3680,3680,3643,37,446,500,0.892,False,0.9,0f635a51b37c69c15dbebb1af0ce8c96fb6b5ec9380c4383083f114274caa66d,4096,online_causal_prc_v1/qwen3_8b_base/n4096_T4096_t3_eta0.15_rr99of100_sampler-poscdf-v1
3664,3664,3627,37,446,500,0.892,False,0.9,e7a8a3e83f07b9001888a2897306f3139a452cfdc2c98b9c55c4dd0044136f4e,4096,online_causal_prc_v1/qwen3_8b_base/n4096_T4096_t3_eta0.15_rr99of100_sampler-poscdf-v1
3648,3648,3612,36,445,500,0.89,False,0.9,2a846d64faf2dc670c5cb8c3461d476c308beae759fa478da50373cd574569b0,4096,online_causal_prc_v1/qwen3_8b_base/n4096_T4096_t3_eta0.15_rr99of100_sampler-poscdf-v1
3632,3632,3596,36,443,500,0.886,False,0.9,47bd39e941c12eafa9cce3eb78db20e67fc6315b0258751090e5b709b8948fc3,4096,online_causal_prc_v1/qwen3_8b_base/n4096_T4096_t3_eta0.15_rr99of100_sampler-poscdf-v1
3616,3616,3580,36,445,500,0.89,False,0.9,5bf6c779f12a7121ef974b031e91c460d326b965e34291c073cb2358ee79bc84,4096,online_causal_prc_v1/qwen3_8b_base/n4096_T4096_t3_eta0.15_rr99of100_sampler-poscdf-v1
3600,3600,3564,36,444,500,0.888,False,0.9,cb196170a345679e3bb495386ae06238bcddb3cf64e067b37ddd1630152d3a52,4096,online_causal_prc_v1/qwen3_8b_base/n4096_T4096_t3_eta0.15_rr99of100_sampler-poscdf-v1
3584,3584,3548,36,445,500,0.89,False,0.9,4da896f135234f9812f9b68aefe42c28a07365b70a5eac827fc40d117d7f50c7,4096,online_causal_prc_v1/qwen3_8b_base/n4096_T4096_t3_eta0.15_rr99of100_sampler-poscdf-v1
3568,3568,3532,36,445,500,0.89,False,0.9,cead7a9d392fe484486b7b7e43161056b9ee42c7c26c7bcc1bb124cdcb30cc9b,4096,online_causal_prc_v1/qwen3_8b_base/n4096_T4096_t3_eta0.15_rr99of100_sampler-poscdf-v1
3552,3552,3516,36,443,500,0.886,False,0.9,3fefa45a7e2145215e42f1f362475d9a9ef280edd806e7cc9acc333ab0ff70c6,4096,online_causal_prc_v1/qwen3_8b_base/n4096_T4096_t3_eta0.15_rr99of100_sampler-poscdf-v1
3536,3536,3501,35,444,500,0.888,False,0.9,d7ccf29e63e55d0531fa479e47fce9cc9699d72ffeb929b28b8ba92d053dbec2,4096,online_causal_prc_v1/qwen3_8b_base/n4096_T4096_t3_eta0.15_rr99of100_sampler-poscdf-v1
3520,3520,3485,35,443,500,0.886,False,0.9,cdca5b4eba31776926e57784df005861e04f6f098cdd67dc9edb79464266d5ad,4096,online_causal_prc_v1/qwen3_8b_base/n4096_T4096_t3_eta0.15_rr99of100_sampler-poscdf-v1
3504,3504,3469,35,444,500,0.888,False,0.9,41700544bd927280ce0e03a9cc1efb5d3ea49d8a17292b08a20d12485be6c8bc,4096,online_causal_prc_v1/qwen3_8b_base/n4096_T4096_t3_eta0.15_rr99of100_sampler-poscdf-v1
3488,3488,3453,35,444,500,0.888,False,0.9,226ef8facd7bfffedac39094bb8831d7bef0758309314a50dfe9228be76cf4ae,4096,online_causal_prc_v1/qwen3_8b_base/n4096_T4096_t3_eta0.15_rr99of100_sampler-poscdf-v1
