recorded_utc,app_id,app_url,status,validation,gpu,provider_gpu_cost_usd,provider_cpu_cost_usd,provider_memory_cost_usd,provider_total_cost_usd,notes
2026-08-17T01:58:07Z,ap-bEvUznDXPIe3hjPkJQh9bL,https://modal.com/apps/new-prc-watermark/main/ap-bEvUznDXPIe3hjPkJQh9bL,completed,n64_concat_saved,A10G,0.01161113,0.00062486,0.00019823,0.01243422,"2 prompts; direct concat generation; measured generation method 3.7 s"
2026-08-17T01:58:07Z,ap-GjDkoRBaAG30Kw3Uvh8rNA,https://modal.com/apps/new-prc-watermark/main/ap-GjDkoRBaAG30Kw3Uvh8rNA,completed,n64_static_saved,A10G,0.01100023,0.00063821,0.00019761,0.01183605,"2 prompts; direct static generation; measured generation method 3.8 s"
2026-08-17T01:58:07Z,ap-8TRCQ6N6TVZdB9OLkUKfjB,https://modal.com/apps/new-prc-watermark/main/ap-8TRCQ6N6TVZdB9OLkUKfjB,completed,n64_saved_record_comparison,CPU,0.00000000,0.00013067,0.00000828,0.00013895,"Cache-only comparison; all tracked fields exact for both prompts"
2026-08-17T01:58:07Z,ap-DldplT5i5wPaTthIKL3QjR,https://modal.com/apps/new-prc-watermark/main/ap-DldplT5i5wPaTthIKL3QjR,completed,n80_concat_saved,A10G,0.01283326,0.00067654,0.00019404,0.01370384,"2 prompts; fresh direct concat generation; measured generation method 5.5315 s"
2026-08-17T01:58:07Z,ap-gpcjnOMibSFNl1Aztpdt9h,https://modal.com/apps/new-prc-watermark/main/ap-gpcjnOMibSFNl1Aztpdt9h,completed,n80_static_continued_from_n64,A10G,0.01466682,0.00079371,0.00026702,0.01572755,"2 prompts; static resume from n=64; prefix audit passed; measured generation method 5.0891 s"
2026-08-17T01:58:07Z,ap-XQnEaLmrCvVLIGHisbn9fM,https://modal.com/apps/new-prc-watermark/main/ap-XQnEaLmrCvVLIGHisbn9fM,completed,n80_saved_record_comparison,CPU,0.00000000,0.00013697,0.00001011,0.00014708,"Cache-only cross-app comparison; exposed cross-container numerical divergence"
2026-08-17T01:58:07Z,ap-EahmRRp2POkOJYM3jqIbKl,https://modal.com/apps/new-prc-watermark/main/ap-EahmRRp2POkOJYM3jqIbKl,completed,n80_saved_record_diagnostic,CPU,0.00000000,0.00013154,0.00000827,0.00013981,"Diagnostic cache-only comparison locating first p-trace/token differences"
2026-08-17T01:58:07Z,ap-G4OJCk3YDLo5RUQxxOdcbv,https://modal.com/apps/new-prc-watermark/main/ap-G4OJCk3YDLo5RUQxxOdcbv,completed,n80_in_container_equivalence,A10G,0.00916691,0.00034886,0.00006665,0.00958242,"2 prompts; concat direct vs static direct exact; static direct vs resumed n=64 exact"
2026-08-17T01:58:07Z,ap-htI8Ykqei85gIQtIFNp91U,https://modal.com/apps/new-prc-watermark/main/ap-htI8Ykqei85gIQtIFNp91U,completed,n256_static_saved,A10G,0.01405569,0.00076425,0.00022809,0.01504803,"2 prompts; static saved smoke; measured generation method 10.0 s; not a TPR estimate"
2026-08-17T01:58:07Z,ap-lihrX2TvNbr1UNBZZiRxoX,https://modal.com/apps/new-prc-watermark/main/ap-lihrX2TvNbr1UNBZZiRxoX,completed,n256_in_container_equivalence,A10G,0.02017723,0.00072831,0.00014300,0.02104854,"2 prompts; concat direct vs static direct exact; static direct vs resumed n=128 exact"
2026-08-17T01:58:07Z,TOTAL,,completed,all_static_kv_cache_validation_apps,mixed,0.09351127,0.00497392,0.00132130,0.09980649,"Exact provider billing total before credits"
