method,method_setting,detector_variant,detector_probability_model,detector_model_dependence,prefix_length,calibration_type,nominal_decision_rule,watermarked_n,true_positives,tpr,null_n,false_positives,observed_fpr,median_neg_log10_p_watermarked,median_neg_log10_p_null
online_prc,eta=0.05,native_8b,Qwen3-8B-Base,model_probability_dependent,128,Hoeffding p-value upper bound,p < 0.001,500,68,0.136,500,0,0.0,1.222263059039982,-0.0
online_prc,eta=0.05,native_8b,Qwen3-8B-Base,model_probability_dependent,256,Hoeffding p-value upper bound,p < 0.001,500,205,0.41,500,0,0.0,2.4998718021059028,0.00012386075719358105
online_prc,eta=0.05,native_8b,Qwen3-8B-Base,model_probability_dependent,400,Hoeffding p-value upper bound,p < 0.001,500,339,0.678,500,0,0.0,3.984010646991587,-0.0
online_prc,eta=0.05,native_8b,Qwen3-8B-Base,model_probability_dependent,512,Hoeffding p-value upper bound,p < 0.001,500,400,0.8,500,0,0.0,5.052810685029447,1.5583782425794134e-05
online_prc,eta=0.05,native_8b,Qwen3-8B-Base,model_probability_dependent,768,Hoeffding p-value upper bound,p < 0.001,500,469,0.938,500,0,0.0,8.186818289193052,-0.0
online_prc,eta=0.05,native_8b,Qwen3-8B-Base,model_probability_dependent,1024,Hoeffding p-value upper bound,p < 0.001,500,480,0.96,500,0,0.0,11.261505769302683,0.0001324613479214137
textseal,frozen_controlled_setting,native_8b,Qwen3-8B-Base,model_probability_dependent,128,moment-matched Gamma approximation,p < 0.001,500,500,1.0,500,1,0.002,52.65718288201735,0.31498723778325205
textseal,frozen_controlled_setting,native_8b,Qwen3-8B-Base,model_probability_dependent,256,moment-matched Gamma approximation,p < 0.001,500,500,1.0,500,0,0.0,100.76043410962956,0.31347888311843397
textseal,frozen_controlled_setting,native_8b,Qwen3-8B-Base,model_probability_dependent,400,moment-matched Gamma approximation,p < 0.001,500,500,1.0,500,0,0.0,150.99033413221002,0.30320787946083594
textseal,frozen_controlled_setting,native_8b,Qwen3-8B-Base,model_probability_dependent,512,moment-matched Gamma approximation,p < 0.001,500,500,1.0,500,0,0.0,186.60008425696182,0.32500871575239965
textseal,frozen_controlled_setting,native_8b,Qwen3-8B-Base,model_probability_dependent,768,moment-matched Gamma approximation,p < 0.001,500,500,1.0,500,1,0.002,248.3094886980366,0.3116291895028464
textseal,frozen_controlled_setting,native_8b,Qwen3-8B-Base,model_probability_dependent,1024,moment-matched Gamma approximation,p < 0.001,500,500,1.0,500,0,0.0,280.1461830794441,0.31223281411661885
synthid_text,frozen_controlled_setting,native_8b,not_applicable,model_independent_frequentist_hash_test,128,normal approximation,p < 0.001,500,500,1.0,500,1,0.002,23.119091371125275,0.2854587736904471
synthid_text,frozen_controlled_setting,native_8b,not_applicable,model_independent_frequentist_hash_test,256,normal approximation,p < 0.001,500,500,1.0,500,0,0.0,46.35575211006248,0.2730069519406392
synthid_text,frozen_controlled_setting,native_8b,not_applicable,model_independent_frequentist_hash_test,400,normal approximation,p < 0.001,500,499,0.998,500,0,0.0,74.5644204626697,0.29036823517506477
synthid_text,frozen_controlled_setting,native_8b,not_applicable,model_independent_frequentist_hash_test,512,normal approximation,p < 0.001,500,499,0.998,500,0,0.0,96.702874449576,0.29216711528764566
synthid_text,frozen_controlled_setting,native_8b,not_applicable,model_independent_frequentist_hash_test,768,normal approximation,p < 0.001,500,500,1.0,500,0,0.0,148.48394279096203,0.3098461857407129
synthid_text,frozen_controlled_setting,native_8b,not_applicable,model_independent_frequentist_hash_test,1024,normal approximation,p < 0.001,500,500,1.0,500,0,0.0,202.07549942480702,0.30410635568337274
gumbel_max,frozen_controlled_setting,native_8b,not_applicable,model_independent_frequentist_hash_test,128,exact Gamma test,p < 0.001,500,500,1.0,500,1,0.002,47.84443753724925,0.3317174348760178
gumbel_max,frozen_controlled_setting,native_8b,not_applicable,model_independent_frequentist_hash_test,256,exact Gamma test,p < 0.001,500,500,1.0,500,1,0.002,90.3933625384002,0.3278665555586568
gumbel_max,frozen_controlled_setting,native_8b,not_applicable,model_independent_frequentist_hash_test,400,exact Gamma test,p < 0.001,500,500,1.0,500,2,0.004,122.04688841008485,0.33777504174637957
gumbel_max,frozen_controlled_setting,native_8b,not_applicable,model_independent_frequentist_hash_test,512,exact Gamma test,p < 0.001,500,500,1.0,500,0,0.0,132.01628124262442,0.3597814086543679
gumbel_max,frozen_controlled_setting,native_8b,not_applicable,model_independent_frequentist_hash_test,768,exact Gamma test,p < 0.001,500,500,1.0,500,0,0.0,138.7344548268648,0.3291601752594876
gumbel_max,frozen_controlled_setting,native_8b,not_applicable,model_independent_frequentist_hash_test,1024,exact Gamma test,p < 0.001,500,500,1.0,500,0,0.0,142.20281184857583,0.35489540919102264
textseal,alpha=0.1,proxy_entropy_sensitivity,Qwen3-0.6B-Base,model_probability_dependent,128,moment-matched Gamma approximation,p < 0.001,500,500,1.0,500,0,0.0,50.38277197226828,0.31030567667603415
textseal,alpha=0.1,proxy_entropy_sensitivity,Qwen3-0.6B-Base,model_probability_dependent,256,moment-matched Gamma approximation,p < 0.001,500,500,1.0,500,0,0.0,97.48613060711357,0.32462382105511745
textseal,alpha=0.1,proxy_entropy_sensitivity,Qwen3-0.6B-Base,model_probability_dependent,400,moment-matched Gamma approximation,p < 0.001,500,500,1.0,500,0,0.0,146.43474975051168,0.30829895314309186
textseal,alpha=0.1,proxy_entropy_sensitivity,Qwen3-0.6B-Base,model_probability_dependent,512,moment-matched Gamma approximation,p < 0.001,500,500,1.0,500,0,0.0,181.30306519313086,0.33452978976910297
textseal,alpha=0.1,proxy_entropy_sensitivity,Qwen3-0.6B-Base,model_probability_dependent,768,moment-matched Gamma approximation,p < 0.001,500,500,1.0,500,1,0.002,240.88563526674997,0.3252610890106208
textseal,alpha=0.1,proxy_entropy_sensitivity,Qwen3-0.6B-Base,model_probability_dependent,1024,moment-matched Gamma approximation,p < 0.001,500,500,1.0,500,0,0.0,271.44694665342564,0.30472665248292824
online_prc,eta=0.05; weight=map,proxy_probability_sensitivity,Qwen3-0.6B-Base,model_probability_dependent,128,Hoeffding p-value upper bound,p_upper < 0.001,500,58,0.116,500,0,0.0,0.9294356679210525,-0.0
online_prc,eta=0.05; weight=entropy,proxy_probability_sensitivity,Qwen3-0.6B-Base,model_probability_dependent,128,Hoeffding p-value upper bound,p_upper < 0.001,500,35,0.07,500,0,0.0,0.6545243556444785,1.0298615085917877e-05
online_prc,eta=0.05; weight=map,proxy_probability_sensitivity,Qwen3-0.6B-Base,model_probability_dependent,256,Hoeffding p-value upper bound,p_upper < 0.001,500,163,0.326,500,0,0.0,1.9311472888703873,0.0006013573258870271
online_prc,eta=0.05; weight=entropy,proxy_probability_sensitivity,Qwen3-0.6B-Base,model_probability_dependent,256,Hoeffding p-value upper bound,p_upper < 0.001,500,99,0.198,500,0,0.0,1.411653718992801,0.0010078588721297889
online_prc,eta=0.05; weight=map,proxy_probability_sensitivity,Qwen3-0.6B-Base,model_probability_dependent,400,Hoeffding p-value upper bound,p_upper < 0.001,500,265,0.53,500,0,0.0,3.1998696753204676,-0.0
online_prc,eta=0.05; weight=entropy,proxy_probability_sensitivity,Qwen3-0.6B-Base,model_probability_dependent,400,Hoeffding p-value upper bound,p_upper < 0.001,500,188,0.376,500,0,0.0,2.381849316835602,1.803694754272257e-05
online_prc,eta=0.05; weight=map,proxy_probability_sensitivity,Qwen3-0.6B-Base,model_probability_dependent,512,Hoeffding p-value upper bound,p_upper < 0.001,500,321,0.642,500,0,0.0,4.0746158419383764,2.5922501147808568e-05
online_prc,eta=0.05; weight=entropy,proxy_probability_sensitivity,Qwen3-0.6B-Base,model_probability_dependent,512,Hoeffding p-value upper bound,p_upper < 0.001,500,246,0.492,500,0,0.0,2.977569395972682,9.056450076850065e-08
online_prc,eta=0.05; weight=map,proxy_probability_sensitivity,Qwen3-0.6B-Base,model_probability_dependent,768,Hoeffding p-value upper bound,p_upper < 0.001,500,420,0.84,500,0,0.0,6.507596969331459,0.0003802624705766175
online_prc,eta=0.05; weight=entropy,proxy_probability_sensitivity,Qwen3-0.6B-Base,model_probability_dependent,768,Hoeffding p-value upper bound,p_upper < 0.001,500,356,0.712,500,0,0.0,4.620675772385189,0.00043166145640002613
online_prc,eta=0.05; weight=map,proxy_probability_sensitivity,Qwen3-0.6B-Base,model_probability_dependent,1024,Hoeffding p-value upper bound,p_upper < 0.001,500,458,0.916,500,0,0.0,8.786721427868615,-0.0
online_prc,eta=0.05; weight=entropy,proxy_probability_sensitivity,Qwen3-0.6B-Base,model_probability_dependent,1024,Hoeffding p-value upper bound,p_upper < 0.001,500,408,0.816,500,0,0.0,6.829909367659234,0.00042136260035874394
online_prc,eta=0.10; weight=map,proxy_probability_sensitivity,Qwen3-0.6B-Base,model_probability_dependent,128,Hoeffding p-value upper bound,p_upper < 0.001,500,10,0.02,500,0,0.0,0.38348486234362933,-0.0
online_prc,eta=0.10; weight=entropy,proxy_probability_sensitivity,Qwen3-0.6B-Base,model_probability_dependent,128,Hoeffding p-value upper bound,p_upper < 0.001,500,9,0.018,500,0,0.0,0.29050378284205564,1.0298615085917877e-05
online_prc,eta=0.10; weight=map,proxy_probability_sensitivity,Qwen3-0.6B-Base,model_probability_dependent,256,Hoeffding p-value upper bound,p_upper < 0.001,500,47,0.094,500,0,0.0,0.884836223364185,0.0006013573258870271
online_prc,eta=0.10; weight=entropy,proxy_probability_sensitivity,Qwen3-0.6B-Base,model_probability_dependent,256,Hoeffding p-value upper bound,p_upper < 0.001,500,37,0.074,500,0,0.0,0.635080530523723,0.0010078588721297889
online_prc,eta=0.10; weight=map,proxy_probability_sensitivity,Qwen3-0.6B-Base,model_probability_dependent,400,Hoeffding p-value upper bound,p_upper < 0.001,500,98,0.196,500,0,0.0,1.3926538803311126,-0.0
online_prc,eta=0.10; weight=entropy,proxy_probability_sensitivity,Qwen3-0.6B-Base,model_probability_dependent,400,Hoeffding p-value upper bound,p_upper < 0.001,500,67,0.134,500,0,0.0,1.018697426929117,1.803694754272257e-05
online_prc,eta=0.10; weight=map,proxy_probability_sensitivity,Qwen3-0.6B-Base,model_probability_dependent,512,Hoeffding p-value upper bound,p_upper < 0.001,500,141,0.282,500,0,0.0,1.9484154815490107,2.5922501147808568e-05
online_prc,eta=0.10; weight=entropy,proxy_probability_sensitivity,Qwen3-0.6B-Base,model_probability_dependent,512,Hoeffding p-value upper bound,p_upper < 0.001,500,101,0.202,500,0,0.0,1.336223654873142,9.056450076850065e-08
online_prc,eta=0.10; weight=map,proxy_probability_sensitivity,Qwen3-0.6B-Base,model_probability_dependent,768,Hoeffding p-value upper bound,p_upper < 0.001,500,254,0.508,500,0,0.0,3.037246370458508,0.0003802624705766175
online_prc,eta=0.10; weight=entropy,proxy_probability_sensitivity,Qwen3-0.6B-Base,model_probability_dependent,768,Hoeffding p-value upper bound,p_upper < 0.001,500,189,0.378,500,0,0.0,2.254346472559198,0.00043166145640002613
online_prc,eta=0.10; weight=map,proxy_probability_sensitivity,Qwen3-0.6B-Base,model_probability_dependent,1024,Hoeffding p-value upper bound,p_upper < 0.001,500,351,0.702,500,0,0.0,4.396510185812522,-0.0
online_prc,eta=0.10; weight=entropy,proxy_probability_sensitivity,Qwen3-0.6B-Base,model_probability_dependent,1024,Hoeffding p-value upper bound,p_upper < 0.001,500,275,0.55,500,0,0.0,3.333836295840893,0.00042136260035874394
online_prc,eta=0.15; weight=map,proxy_probability_sensitivity,Qwen3-0.6B-Base,model_probability_dependent,128,Hoeffding p-value upper bound,p_upper < 0.001,500,2,0.004,500,0,0.0,0.19549258254821952,-0.0
online_prc,eta=0.15; weight=entropy,proxy_probability_sensitivity,Qwen3-0.6B-Base,model_probability_dependent,128,Hoeffding p-value upper bound,p_upper < 0.001,500,2,0.004,500,0,0.0,0.1423192883940121,1.0298615085917877e-05
online_prc,eta=0.15; weight=map,proxy_probability_sensitivity,Qwen3-0.6B-Base,model_probability_dependent,256,Hoeffding p-value upper bound,p_upper < 0.001,500,9,0.018,500,0,0.0,0.38718671390020165,0.0006013573258870271
online_prc,eta=0.15; weight=entropy,proxy_probability_sensitivity,Qwen3-0.6B-Base,model_probability_dependent,256,Hoeffding p-value upper bound,p_upper < 0.001,500,5,0.01,500,0,0.0,0.3083197779315414,0.0010078588721297889
online_prc,eta=0.15; weight=map,proxy_probability_sensitivity,Qwen3-0.6B-Base,model_probability_dependent,400,Hoeffding p-value upper bound,p_upper < 0.001,500,20,0.04,500,0,0.0,0.7261427954303037,-0.0
online_prc,eta=0.15; weight=entropy,proxy_probability_sensitivity,Qwen3-0.6B-Base,model_probability_dependent,400,Hoeffding p-value upper bound,p_upper < 0.001,500,11,0.022,500,0,0.0,0.5593394794857043,1.803694754272257e-05
online_prc,eta=0.15; weight=map,proxy_probability_sensitivity,Qwen3-0.6B-Base,model_probability_dependent,512,Hoeffding p-value upper bound,p_upper < 0.001,500,30,0.06,500,0,0.0,0.9326914061754159,2.5922501147808568e-05
online_prc,eta=0.15; weight=entropy,proxy_probability_sensitivity,Qwen3-0.6B-Base,model_probability_dependent,512,Hoeffding p-value upper bound,p_upper < 0.001,500,19,0.038,500,0,0.0,0.7125048761767857,9.056450076850065e-08
online_prc,eta=0.15; weight=map,proxy_probability_sensitivity,Qwen3-0.6B-Base,model_probability_dependent,768,Hoeffding p-value upper bound,p_upper < 0.001,500,83,0.166,500,0,0.0,1.383762841501078,0.0003802624705766175
online_prc,eta=0.15; weight=entropy,proxy_probability_sensitivity,Qwen3-0.6B-Base,model_probability_dependent,768,Hoeffding p-value upper bound,p_upper < 0.001,500,52,0.104,500,0,0.0,1.1032002088323294,0.00043166145640002613
online_prc,eta=0.15; weight=map,proxy_probability_sensitivity,Qwen3-0.6B-Base,model_probability_dependent,1024,Hoeffding p-value upper bound,p_upper < 0.001,500,145,0.29,500,0,0.0,2.011196551199181,-0.0
online_prc,eta=0.15; weight=entropy,proxy_probability_sensitivity,Qwen3-0.6B-Base,model_probability_dependent,1024,Hoeffding p-value upper bound,p_upper < 0.001,500,110,0.22,500,0,0.0,1.569888124355638,0.00042136260035874394
online_prc,eta=0.20; weight=map,proxy_probability_sensitivity,Qwen3-0.6B-Base,model_probability_dependent,128,Hoeffding p-value upper bound,p_upper < 0.001,500,1,0.002,500,0,0.0,0.07124743478680036,-0.0
online_prc,eta=0.20; weight=entropy,proxy_probability_sensitivity,Qwen3-0.6B-Base,model_probability_dependent,128,Hoeffding p-value upper bound,p_upper < 0.001,500,1,0.002,500,0,0.0,0.05456376254210127,1.0298615085917877e-05
online_prc,eta=0.20; weight=map,proxy_probability_sensitivity,Qwen3-0.6B-Base,model_probability_dependent,256,Hoeffding p-value upper bound,p_upper < 0.001,500,1,0.002,500,0,0.0,0.1884609238084704,0.0006013573258870271
online_prc,eta=0.20; weight=entropy,proxy_probability_sensitivity,Qwen3-0.6B-Base,model_probability_dependent,256,Hoeffding p-value upper bound,p_upper < 0.001,500,1,0.002,500,0,0.0,0.14355743908409113,0.0010078588721297889
online_prc,eta=0.20; weight=map,proxy_probability_sensitivity,Qwen3-0.6B-Base,model_probability_dependent,400,Hoeffding p-value upper bound,p_upper < 0.001,500,3,0.006,500,0,0.0,0.31948071569837777,-0.0
online_prc,eta=0.20; weight=entropy,proxy_probability_sensitivity,Qwen3-0.6B-Base,model_probability_dependent,400,Hoeffding p-value upper bound,p_upper < 0.001,500,3,0.006,500,0,0.0,0.24802959145283024,1.803694754272257e-05
online_prc,eta=0.20; weight=map,proxy_probability_sensitivity,Qwen3-0.6B-Base,model_probability_dependent,512,Hoeffding p-value upper bound,p_upper < 0.001,500,4,0.008,500,0,0.0,0.38813836709429395,2.5922501147808568e-05
online_prc,eta=0.20; weight=entropy,proxy_probability_sensitivity,Qwen3-0.6B-Base,model_probability_dependent,512,Hoeffding p-value upper bound,p_upper < 0.001,500,5,0.01,500,0,0.0,0.2599055628160353,9.056450076850065e-08
online_prc,eta=0.20; weight=map,proxy_probability_sensitivity,Qwen3-0.6B-Base,model_probability_dependent,768,Hoeffding p-value upper bound,p_upper < 0.001,500,12,0.024,500,0,0.0,0.5935830999045555,0.0003802624705766175
online_prc,eta=0.20; weight=entropy,proxy_probability_sensitivity,Qwen3-0.6B-Base,model_probability_dependent,768,Hoeffding p-value upper bound,p_upper < 0.001,500,8,0.016,500,0,0.0,0.4268497525453503,0.00043166145640002613
online_prc,eta=0.20; weight=map,proxy_probability_sensitivity,Qwen3-0.6B-Base,model_probability_dependent,1024,Hoeffding p-value upper bound,p_upper < 0.001,500,35,0.07,500,0,0.0,0.8001878313551136,-0.0
online_prc,eta=0.20; weight=entropy,proxy_probability_sensitivity,Qwen3-0.6B-Base,model_probability_dependent,1024,Hoeffding p-value upper bound,p_upper < 0.001,500,15,0.03,500,0,0.0,0.5814139251078778,0.00042136260035874394
