method,eta,detector_weight,generation_model,detector_probability_model,prefix_length,length_status,calibration_type,nominal_decision_rule,watermarked_n,true_positives,tpr,null_n,false_positives,observed_fpr,median_neg_log10_p_watermarked,median_neg_log10_p_null
online_prc,0.05,map,Qwen3-8B-Base,Qwen3-0.6B-Base,128,common_controlled_prefix,Hoeffding p-value upper bound,p_upper < 0.001,500,58,0.116,500,0,0.0,0.9294356679210525,-0.0
online_prc,0.05,entropy,Qwen3-8B-Base,Qwen3-0.6B-Base,128,common_controlled_prefix,Hoeffding p-value upper bound,p_upper < 0.001,500,35,0.07,500,0,0.0,0.6545243556444785,1.0298615085917877e-05
online_prc,0.05,map,Qwen3-8B-Base,Qwen3-0.6B-Base,256,common_controlled_prefix,Hoeffding p-value upper bound,p_upper < 0.001,500,163,0.326,500,0,0.0,1.9311472888703873,0.0006013573258870271
online_prc,0.05,entropy,Qwen3-8B-Base,Qwen3-0.6B-Base,256,common_controlled_prefix,Hoeffding p-value upper bound,p_upper < 0.001,500,99,0.198,500,0,0.0,1.411653718992801,0.0010078588721297889
online_prc,0.05,map,Qwen3-8B-Base,Qwen3-0.6B-Base,400,common_controlled_prefix,Hoeffding p-value upper bound,p_upper < 0.001,500,265,0.53,500,0,0.0,3.1998696753204676,-0.0
online_prc,0.05,entropy,Qwen3-8B-Base,Qwen3-0.6B-Base,400,common_controlled_prefix,Hoeffding p-value upper bound,p_upper < 0.001,500,188,0.376,500,0,0.0,2.381849316835602,1.803694754272257e-05
online_prc,0.05,map,Qwen3-8B-Base,Qwen3-0.6B-Base,512,common_controlled_prefix,Hoeffding p-value upper bound,p_upper < 0.001,500,321,0.642,500,0,0.0,4.0746158419383764,2.5922501147808568e-05
online_prc,0.05,entropy,Qwen3-8B-Base,Qwen3-0.6B-Base,512,common_controlled_prefix,Hoeffding p-value upper bound,p_upper < 0.001,500,246,0.492,500,0,0.0,2.977569395972682,9.056450076850065e-08
online_prc,0.05,map,Qwen3-8B-Base,Qwen3-0.6B-Base,640,exact_gt_90pct_map_boundary,Hoeffding p-value upper bound,p_upper < 0.001,500,381,0.762,500,0,0.0,5.295203270296023,0.0011983022855937997
online_prc,0.05,entropy,Qwen3-8B-Base,Qwen3-0.6B-Base,640,exact_gt_90pct_map_boundary,Hoeffding p-value upper bound,p_upper < 0.001,500,320,0.64,500,0,0.0,3.800517576146805,0.00010035119390604364
online_prc,0.05,map,Qwen3-8B-Base,Qwen3-0.6B-Base,768,common_controlled_prefix,Hoeffding p-value upper bound,p_upper < 0.001,500,420,0.84,500,0,0.0,6.507596969331459,0.0003802624705766175
online_prc,0.05,entropy,Qwen3-8B-Base,Qwen3-0.6B-Base,768,common_controlled_prefix,Hoeffding p-value upper bound,p_upper < 0.001,500,356,0.712,500,0,0.0,4.620675772385189,0.00043166145640002613
online_prc,0.05,map,Qwen3-8B-Base,Qwen3-0.6B-Base,1024,common_controlled_prefix,Hoeffding p-value upper bound,p_upper < 0.001,500,458,0.916,500,0,0.0,8.786721427868615,-0.0
online_prc,0.05,entropy,Qwen3-8B-Base,Qwen3-0.6B-Base,1024,common_controlled_prefix,Hoeffding p-value upper bound,p_upper < 0.001,500,408,0.816,500,0,0.0,6.829909367659234,0.00042136260035874394
online_prc,0.1,map,Qwen3-8B-Base,Qwen3-0.6B-Base,128,common_controlled_prefix,Hoeffding p-value upper bound,p_upper < 0.001,500,10,0.02,500,0,0.0,0.38348486234362933,-0.0
online_prc,0.1,entropy,Qwen3-8B-Base,Qwen3-0.6B-Base,128,common_controlled_prefix,Hoeffding p-value upper bound,p_upper < 0.001,500,9,0.018,500,0,0.0,0.29050378284205564,1.0298615085917877e-05
online_prc,0.1,map,Qwen3-8B-Base,Qwen3-0.6B-Base,256,common_controlled_prefix,Hoeffding p-value upper bound,p_upper < 0.001,500,47,0.094,500,0,0.0,0.884836223364185,0.0006013573258870271
online_prc,0.1,entropy,Qwen3-8B-Base,Qwen3-0.6B-Base,256,common_controlled_prefix,Hoeffding p-value upper bound,p_upper < 0.001,500,37,0.074,500,0,0.0,0.635080530523723,0.0010078588721297889
online_prc,0.1,map,Qwen3-8B-Base,Qwen3-0.6B-Base,400,common_controlled_prefix,Hoeffding p-value upper bound,p_upper < 0.001,500,98,0.196,500,0,0.0,1.3926538803311126,-0.0
online_prc,0.1,entropy,Qwen3-8B-Base,Qwen3-0.6B-Base,400,common_controlled_prefix,Hoeffding p-value upper bound,p_upper < 0.001,500,67,0.134,500,0,0.0,1.018697426929117,1.803694754272257e-05
online_prc,0.1,map,Qwen3-8B-Base,Qwen3-0.6B-Base,512,common_controlled_prefix,Hoeffding p-value upper bound,p_upper < 0.001,500,141,0.282,500,0,0.0,1.9484154815490107,2.5922501147808568e-05
online_prc,0.1,entropy,Qwen3-8B-Base,Qwen3-0.6B-Base,512,common_controlled_prefix,Hoeffding p-value upper bound,p_upper < 0.001,500,101,0.202,500,0,0.0,1.336223654873142,9.056450076850065e-08
online_prc,0.1,map,Qwen3-8B-Base,Qwen3-0.6B-Base,768,common_controlled_prefix,Hoeffding p-value upper bound,p_upper < 0.001,500,254,0.508,500,0,0.0,3.037246370458508,0.0003802624705766175
online_prc,0.1,entropy,Qwen3-8B-Base,Qwen3-0.6B-Base,768,common_controlled_prefix,Hoeffding p-value upper bound,p_upper < 0.001,500,189,0.378,500,0,0.0,2.254346472559198,0.00043166145640002613
online_prc,0.1,map,Qwen3-8B-Base,Qwen3-0.6B-Base,1024,common_controlled_prefix,Hoeffding p-value upper bound,p_upper < 0.001,500,351,0.702,500,0,0.0,4.396510185812522,-0.0
online_prc,0.1,entropy,Qwen3-8B-Base,Qwen3-0.6B-Base,1024,common_controlled_prefix,Hoeffding p-value upper bound,p_upper < 0.001,500,275,0.55,500,0,0.0,3.333836295840893,0.00042136260035874394
online_prc,0.1,map,Qwen3-8B-Base,Qwen3-0.6B-Base,1407,exact_gt_90pct_map_boundary,Hoeffding p-value upper bound,p_upper < 0.001,500,415,0.83,500,0,0.0,6.470350218954585,0.00013351747954647907
online_prc,0.1,entropy,Qwen3-8B-Base,Qwen3-0.6B-Base,1407,exact_gt_90pct_map_boundary,Hoeffding p-value upper bound,p_upper < 0.001,500,362,0.724,500,0,0.0,4.9519318719181555,4.26751990196425e-05
online_prc,0.15,map,Qwen3-8B-Base,Qwen3-0.6B-Base,128,common_controlled_prefix,Hoeffding p-value upper bound,p_upper < 0.001,500,2,0.004,500,0,0.0,0.19549258254821952,-0.0
online_prc,0.15,entropy,Qwen3-8B-Base,Qwen3-0.6B-Base,128,common_controlled_prefix,Hoeffding p-value upper bound,p_upper < 0.001,500,2,0.004,500,0,0.0,0.1423192883940121,1.0298615085917877e-05
online_prc,0.15,map,Qwen3-8B-Base,Qwen3-0.6B-Base,256,common_controlled_prefix,Hoeffding p-value upper bound,p_upper < 0.001,500,9,0.018,500,0,0.0,0.38718671390020165,0.0006013573258870271
