eta,T,n,r value,r setting,PRC Construction,t,Target FPR,Entropy Model,Generation Model,Old Posterior TPR,Posterior TPR,Old Entropy Aware TPR,Entropy Aware TPR,Naive TPR,Posterior FPR,Entropy FPR,Naive FPR,Entropy Trace Source,Notes
0.05,256,256,253,253/256,fixed_prc,3,0.001,Qwen3-0.6B-Base,Qwen3-0.6B-Base,334/500 (66.8%),312/500 (62.4%),237/500 (47.4%),219/500 (43.8%),skipped,0/500 (0.0%),0/500 (0.0%),skipped,completion_only_raw_abstain_v1,BF16; coordinate 1=0; FPR policy=block_or_bonferroni; batch=100; GPU=A10G; commit=23b8f280380c24a7e8899313874de70d544afc50; run=completion_only_raw_abstain_v1/integrated/ee9a3eba4ec1f197fe0600ec; report=full.json; old TPR source=hoeffding_results_summary.csv; old evidence SHA256=bdbf064aa008ec7173e45e841ba0d47e7becd6ea0306f7ac4c5921c639200c99
0.05,256,256,253,253/256,fixed_prc,3,0.001,Qwen3-0.6B-Base,Qwen3-0.6B-Base,339/500 (67.8%),317/500 (63.4%),237/500 (47.4%),224/500 (44.8%),skipped,0/500 (0.0%),0/500 (0.0%),skipped,completion_only_raw_abstain_v1,BF16; coordinate 1=0; FPR policy=block_or_bonferroni; batch=100; GPU=A10G; commit=23b8f280380c24a7e8899313874de70d544afc50; run=completion_only_raw_abstain_v1/integrated/8de0404063bd16fd26ed466a; report=full.json; old TPR source=outputs/fixed_replicate_n256_t3_eta0.05_prompts500_seed54321.json; old evidence SHA256=742c9e2aa85cf5d559eeab97b69675bbae4d0b8cf465632c4ec5705c7f1daee7
0.05,256,256,253,253/256,fixed_prc,3,0.001,Qwen3-0.6B-Base,Qwen3-0.6B-Base,317/500 (63.4%),285/500 (57.0%),226/500 (45.2%),209/500 (41.8%),skipped,0/500 (0.0%),0/500 (0.0%),skipped,completion_only_raw_abstain_v1,BF16; coordinate 1=0; FPR policy=block_or_bonferroni; batch=100; GPU=A10G; commit=23b8f280380c24a7e8899313874de70d544afc50; run=completion_only_raw_abstain_v1/integrated/86f8d0b4824e9fef7c09e669; report=full.json; old TPR source=outputs/fixed_replicate_n256_t3_eta0.05_prompts500_seed67890.json; old evidence SHA256=1842aaae27e0717fcc3fab09c156190b2385f9d472814921d69ac357c97374e8
0.05,416,416,412,412/416,fixed_prc,3,0.001,Qwen3-0.6B-Base,Qwen3-0.6B-Base,456/500 (91.2%),441/500 (88.2%),384/500 (76.8%),368/500 (73.6%),skipped,0/500 (0.0%),0/500 (0.0%),skipped,completion_only_raw_abstain_v1,BF16; coordinate 1=0; FPR policy=block_or_bonferroni; batch=100; GPU=A10G; commit=23b8f280380c24a7e8899313874de70d544afc50; run=completion_only_raw_abstain_v1/integrated/f9827a8cc9d3501b8a13b17e; report=full.json; old TPR source=hoeffding_results_summary.csv; old evidence SHA256=d5040ba7aeb2aa0f7b6c08280f6d294f76dda1725e62a1070795ee54068bb84a
0.05,448,448,444,444/448,fixed_prc,3,0.001,Qwen3-0.6B-Base,Qwen3-0.6B-Base,466/500 (93.2%),450/500 (90.0%),399/500 (79.8%),397/500 (79.4%),skipped,0/500 (0.0%),0/500 (0.0%),skipped,completion_only_raw_abstain_v1,BF16; coordinate 1=0; FPR policy=block_or_bonferroni; batch=125; GPU=A100-80GB; commit=789f42b23da8f298f24d8f59c0b7f31ed72bf51b; run=completion_only_raw_abstain_v1/integrated/ae6ee26cba45acb62b60acf3; report=full.json; old TPR source=saved prompted fixed-PRC audit; all candidate token hashes and original key matched; old evidence SHA256=3ca1b7366af19d59447f26f082f7080e53cc992788d4e99276dc84d79acfdf89
0.05,512,512,507,507/512,fixed_prc,3,0.001,Qwen3-0.6B-Base,Qwen3-0.6B-Base,479/500 (95.8%),472/500 (94.4%),423/500 (84.6%),421/500 (84.2%),skipped,0/500 (0.0%),0/500 (0.0%),skipped,completion_only_raw_abstain_v1,BF16; coordinate 1=0; FPR policy=block_or_bonferroni; batch=100; GPU=A10G; commit=23b8f280380c24a7e8899313874de70d544afc50; run=completion_only_raw_abstain_v1/integrated/72585f241bc0f4cfc1b2c092; report=full.json; old TPR source=hoeffding_results_summary.csv; old evidence SHA256=a568a88aaa2ca99b2e464866ff70df793cc3059a2c695a7900107643829fed49
0.05,1024,1024,1014,1014/1024,fixed_prc,3,0.001,Qwen3-0.6B-Base,Qwen3-0.6B-Base,496/500 (99.2%),495/500 (99.0%),490/500 (98.0%),489/500 (97.8%),skipped,0/500 (0.0%),1/500 (0.2%),skipped,completion_only_raw_abstain_v1,BF16; coordinate 1=0; FPR policy=block_or_bonferroni; batch=125; GPU=A100-80GB; commit=23b8f280380c24a7e8899313874de70d544afc50; run=completion_only_raw_abstain_v1/integrated/55deff00968e8a1c6ac6213d; report=full.json; old TPR source=hoeffding_results_summary.csv; old evidence SHA256=cb7b2369f32811fa885513c187518172cce38a4a93cf648f8b1df94d9122acb1
0.05,2048,2048,2028,2028/2048,fixed_prc,3,0.001,Qwen3-0.6B-Base,Qwen3-0.6B-Base,498/500 (99.6%),498/500 (99.6%),497/500 (99.4%),497/500 (99.4%),skipped,0/500 (0.0%),0/500 (0.0%),skipped,completion_only_raw_abstain_v1,BF16; coordinate 1=0; FPR policy=block_or_bonferroni; batch=125; GPU=A100-80GB; commit=23b8f280380c24a7e8899313874de70d544afc50; run=completion_only_raw_abstain_v1/integrated/26edf5193e6061745ea46c9e; report=full.json; old TPR source=hoeffding_results_summary.csv; old evidence SHA256=94187322ab351d1f3a0c1c58aeebd856f95db53f4abc2aeb899ebdc6097eedc4
0.1,256,256,253,253/256,fixed_prc,3,0.001,Qwen3-0.6B-Base,Qwen3-0.6B-Base,151/500 (30.2%),135/500 (27.0%),99/500 (19.8%),94/500 (18.8%),skipped,0/500 (0.0%),0/500 (0.0%),skipped,completion_only_raw_abstain_v1,BF16; coordinate 1=0; FPR policy=block_or_bonferroni; batch=100; GPU=A10G; commit=23b8f280380c24a7e8899313874de70d544afc50; run=completion_only_raw_abstain_v1/integrated/65150c8d400d82e5bbd80a5d; report=full.json; old TPR source=hoeffding_results_summary.csv; old evidence SHA256=7f6b58d0ded9a744059f71896b823c2ab4b70db2e55cec42b14f3730d4697e2d
0.1,400,400,396,396/400,fixed_prc,3,0.001,Qwen3-0.6B-Base,Qwen3-0.6B-Base,276/500 (55.2%),247/500 (49.4%),192/500 (38.4%),184/500 (36.8%),skipped,0/500 (0.0%),0/500 (0.0%),skipped,completion_only_raw_abstain_v1,BF16; coordinate 1=0; FPR policy=block_or_bonferroni; batch=100; GPU=A10G; commit=23b8f280380c24a7e8899313874de70d544afc50; run=completion_only_raw_abstain_v1/integrated/5f593e793ca390fc4c26b3a5; report=full.json; old TPR source=hoeffding_results_summary.csv; old evidence SHA256=3d54038ea2049df9cce5850a62a417c399f11998c98f35162293aad4179bfd10
