regime,left,right,length,source,metric,mean,ci95_low,ci95_high
8b_full,synthid_depth2,synthid_depth10,400,outputs/self_bleu_depth/depth2_30_v1/summary.json,self_bleu,-0.003079614436774353,-0.006831737356709757,0.00036235329726635866
8b_full,synthid_depth2,synthid_depth10,400,outputs/self_bleu_depth/depth2_30_v1/summary.json,tpr,0.0,0.0,0.0
8b_full,synthid_depth2,synthid_depth10,1024,outputs/self_bleu_depth/depth2_30_v1/summary.json,self_bleu,-0.0021930107616610186,-0.005888861558630987,0.0014839957594932518
8b_full,synthid_depth2,synthid_depth10,1024,outputs/self_bleu_depth/depth2_30_v1/summary.json,tpr,0.0,0.0,0.0
8b_full,synthid_depth30,synthid_depth10,400,outputs/self_bleu_depth/depth2_30_v1/summary.json,self_bleu,0.01116848375473129,0.005350895233040899,0.01795926918955909
8b_full,synthid_depth30,synthid_depth10,400,outputs/self_bleu_depth/depth2_30_v1/summary.json,tpr,0.0,0.0,0.0
8b_full,synthid_depth30,synthid_depth10,1024,outputs/self_bleu_depth/depth2_30_v1/summary.json,self_bleu,0.006839769331078953,0.0020931214693748756,0.01190413183385791
8b_full,synthid_depth30,synthid_depth10,1024,outputs/self_bleu_depth/depth2_30_v1/summary.json,tpr,0.0,0.0,0.0
8b_full,synthid_depth30,synthid_depth2,400,outputs/self_bleu_depth/depth2_30_v1/summary.json,self_bleu,0.014248098191505642,0.007755308469294475,0.021745059189660864
8b_full,synthid_depth30,synthid_depth2,400,outputs/self_bleu_depth/depth2_30_v1/summary.json,tpr,0.0,0.0,0.0
8b_full,synthid_depth30,synthid_depth2,1024,outputs/self_bleu_depth/depth2_30_v1/summary.json,self_bleu,0.009032780092739971,0.003465190124663882,0.014716699762327756
8b_full,synthid_depth30,synthid_depth2,1024,outputs/self_bleu_depth/depth2_30_v1/summary.json,tpr,0.0,0.0,0.0
8b_full,prc,synthid_depth2,400,outputs/self_bleu_depth/depth2_30_v1/summary.json,self_bleu,0.0002173005943603002,-0.0034515577066651913,0.003990814807907832
8b_full,prc,synthid_depth2,400,outputs/self_bleu_depth/depth2_30_v1/summary.json,tpr,-0.45,-0.56,-0.35
8b_full,prc,synthid_depth2,400,outputs/self_bleu_depth/depth2_30_v1/summary.json,distinct_3,0.0034170854271356756,-0.002161432160804022,0.009271356783919587
8b_full,prc,synthid_depth2,400,outputs/self_bleu_depth/depth2_30_v1/summary.json,repeated_4gram_fraction,-0.004584382871536528,-0.010428841309823684,0.00027707808564229853
8b_full,prc,synthid_depth2,1024,outputs/self_bleu_depth/depth2_30_v1/summary.json,self_bleu,-0.0009681857092633979,-0.004592188040402144,0.0026491254041800852
8b_full,prc,synthid_depth2,1024,outputs/self_bleu_depth/depth2_30_v1/summary.json,tpr,-0.03,-0.07,0.0
8b_full,prc,synthid_depth2,1024,outputs/self_bleu_depth/depth2_30_v1/summary.json,distinct_3,0.00995107632093934,-0.003894324853228945,0.024031800391389416
8b_full,prc,synthid_depth2,1024,outputs/self_bleu_depth/depth2_30_v1/summary.json,repeated_4gram_fraction,-0.00893241919686582,-0.02093070519098923,0.0028795298726738503
8b_full,prc,synthid_depth10,400,outputs/self_bleu_depth/depth2_30_v1/summary.json,self_bleu,-0.002862313842414053,-0.0066420135899870935,0.000909711360009678
8b_full,prc,synthid_depth10,400,outputs/self_bleu_depth/depth2_30_v1/summary.json,tpr,-0.45,-0.56,-0.35
8b_full,prc,synthid_depth10,400,outputs/self_bleu_depth/depth2_30_v1/summary.json,distinct_3,-0.0017839195979899402,-0.0074886934673366835,0.0036934673366834183
8b_full,prc,synthid_depth10,400,outputs/self_bleu_depth/depth2_30_v1/summary.json,repeated_4gram_fraction,0.0007808564231738024,-0.002922544080604539,0.004433249370277074
8b_full,prc,synthid_depth10,1024,outputs/self_bleu_depth/depth2_30_v1/summary.json,self_bleu,-0.003161196470924417,-0.007311426747785856,0.0010175746942455157
8b_full,prc,synthid_depth10,1024,outputs/self_bleu_depth/depth2_30_v1/summary.json,tpr,-0.03,-0.07,0.0
8b_full,prc,synthid_depth10,1024,outputs/self_bleu_depth/depth2_30_v1/summary.json,distinct_3,0.000763209393346378,-0.009687133072407046,0.011527886497064566
8b_full,prc,synthid_depth10,1024,outputs/self_bleu_depth/depth2_30_v1/summary.json,repeated_4gram_fraction,-0.00040156709108716827,-0.009052154750244856,0.008002448579823702
8b_full,prc,synthid_depth30,400,outputs/self_bleu_depth/depth2_30_v1/summary.json,self_bleu,-0.014030797597145341,-0.020710289311430954,-0.008313712366522476
8b_full,prc,synthid_depth30,400,outputs/self_bleu_depth/depth2_30_v1/summary.json,tpr,-0.45,-0.56,-0.35
8b_full,prc,synthid_depth30,1024,outputs/self_bleu_depth/depth2_30_v1/summary.json,self_bleu,-0.010000965802003367,-0.015463436037155207,-0.005056046206130227
8b_full,prc,synthid_depth30,1024,outputs/self_bleu_depth/depth2_30_v1/summary.json,tpr,-0.03,-0.07,0.0
8b_full,prc,null,400,outputs/self_bleu_depth/depth2_30_v1/summary.json,self_bleu,0.00029125518764258916,-0.0037643004213895096,0.004202899345152091
8b_full,prc,null,400,outputs/self_bleu_depth/depth2_30_v1/summary.json,distinct_3,0.0013065326633165796,-0.0051532663316583,0.008292085427135679
