Detector,Cohort,Tokens,False positives,Responses
gumbel,historical,400,2,500
gumbel,historical,1024,0,500
gumbel,pilot,400,0,100
gumbel,pilot,1024,0,100
prc,historical,400,0,500
prc,historical,1024,0,500
prc,pilot,400,0,100
prc,pilot,1024,0,100
synthid_depth10,historical,400,0,500
synthid_depth10,historical,1024,0,500
synthid_depth10,pilot,400,1,100
synthid_depth10,pilot,1024,0,100
synthid_depth2,historical,400,0,500
synthid_depth2,historical,1024,0,500
synthid_depth2,pilot,400,0,100
synthid_depth2,pilot,1024,0,100
synthid_depth30,historical,400,0,500
synthid_depth30,historical,1024,0,500
synthid_depth30,pilot,400,0,100
synthid_depth30,pilot,1024,0,100
textseal,historical,400,0,500
textseal,historical,1024,0,500
textseal,pilot,400,0,100
textseal,pilot,1024,0,100
