Left minus right,Self-BLEU [95% CI],Detection pp [95% CI],Repeat-4 pp [95% CI],Distinct-3 pp [95% CI]
SynthID d=2 - SynthID d=10,"-0.00219 [-0.00589, +0.00148]","+0.0 [+0.0, +0.0]",--,--
SynthID d=30 - SynthID d=10,"+0.00684 [+0.00209, +0.01190]","+0.0 [+0.0, +0.0]",--,--
SynthID d=30 - SynthID d=2,"+0.00903 [+0.00347, +0.01472]","+0.0 [+0.0, +0.0]",--,--
PRC eta=.05 - SynthID d=2,"-0.00097 [-0.00459, +0.00265]","-3.0 [-7.0, +0.0]","-0.89 [-2.09, +0.29]","+1.00 [-0.39, +2.40]"
PRC eta=.05 - SynthID d=10,"-0.00316 [-0.00731, +0.00102]","-3.0 [-7.0, +0.0]","-0.04 [-0.91, +0.80]","+0.08 [-0.97, +1.15]"
PRC eta=.05 - SynthID d=30,"-0.01000 [-0.01546, -0.00506]","-3.0 [-7.0, +0.0]",--,--
PRC eta=.05 - Ordinary,"-0.00038 [-0.00369, +0.00297]",--,"-0.54 [-2.11, +0.63]","+0.47 [-0.92, +2.09]"
SynthID d=2 - Ordinary,"+0.00059 [-0.00334, +0.00487]",--,"+0.35 [-1.34, +1.79]","-0.53 [-2.09, +1.27]"
SynthID d=10 - Ordinary,"+0.00278 [-0.00055, +0.00622]",--,"-0.50 [-1.98, +0.65]","+0.39 [-0.88, +1.91]"
SynthID d=30 - Ordinary,"+0.00962 [+0.00529, +0.01458]",--,--,--
PRC eta=.05 - TextSeal a=.1 (off),"-0.01880 [-0.02560, -0.01205]","-3.0 [-7.0, +0.0]","-29.79 [-34.57, -24.92]","+29.58 [+24.74, +34.33]"
PRC eta=.05 - Gumbel-Max (off),"-0.98110 [-0.98419, -0.97773]","-3.0 [-7.0, +0.0]","-49.35 [-57.08, -41.75]","+48.42 [+40.92, +56.05]"
PRC eta=.05 - TextSeal a=.1 (on),"-0.02837 [-0.03531, -0.02201]","-3.0 [-7.0, +0.0]","-0.36 [-1.20, +0.49]","+0.97 [-0.09, +2.03]"
PRC eta=.05 - Gumbel-Max (on),"-0.18829 [-0.21248, -0.16445]","-3.0 [-7.0, +0.0]","-0.43 [-1.60, +0.65]","+1.05 [-0.29, +2.49]"
