temperature,detector,label,role,N,TPR,TPR_CI_low,TPR_CI_high,null_N,null_key_pairings,realized_FPR,FPR_CI_low,FPR_CI_high,threshold,rule,AUC,threshold_freeze_sha256,CI
1.0,wang_published,Wang hard detector (published threshold),primary,160,0.0,0.0,0.0,80,20480,0.0,0.0,0.0,7232.824913450762,H <= cutoff,0.5450244140621776,f5ebc433c526bb7d8fed9ce0592f8e4a342c007cf0ec2f30056bece9a7d26fcc,crossed group x prompt; frozen thresholds; null conditional on fixed evaluation-key pool
1.0,posterior_standard,"Posterior detector (standard threshold, FPR target 1e-3)",primary,160,0.05,0.00625,0.11265624999999917,80,20480,0.0,0.0,0.0,3.7169221888498383,V > 0 and Z >= cutoff,0.684554443359025,f5ebc433c526bb7d8fed9ce0592f8e4a342c007cf0ec2f30056bece9a7d26fcc,crossed group x prompt; frozen thresholds; null conditional on fixed evaluation-key pool
1.0,hard_matched,Wang hard statistic @ matched FPR,matched-FPR,160,0.0,0.0,0.0,80,20480,0.001171875,0.000537109375,0.001953125,8551,H <= cutoff,0.5450244140621776,f5ebc433c526bb7d8fed9ce0592f8e4a342c007cf0ec2f30056bece9a7d26fcc,crossed group x prompt; frozen thresholds; null conditional on fixed evaluation-key pool
1.0,posterior_matched,Posterior statistic @ matched FPR,matched-FPR,160,0.1125,0.037500000000000006,0.20625000000000002,80,20480,0.00029296875,0.0,0.0006835937500000001,3.0229717052487137,V > 0 and Z >= cutoff,0.684554443359025,f5ebc433c526bb7d8fed9ce0592f8e4a342c007cf0ec2f30056bece9a7d26fcc,crossed group x prompt; frozen thresholds; null conditional on fixed evaluation-key pool
1.2,wang_published,Wang hard detector (published threshold),primary,160,0.0,0.0,0.0,80,20480,0.0,0.0,0.0,7232.824913450762,H <= cutoff,0.9713526916500147,f5ebc433c526bb7d8fed9ce0592f8e4a342c007cf0ec2f30056bece9a7d26fcc,crossed group x prompt; frozen thresholds; null conditional on fixed evaluation-key pool
1.2,posterior_standard,"Posterior detector (standard threshold, FPR target 1e-3)",primary,160,0.975,0.925,1.0,80,20480,4.8828125e-05,0.0,0.0001953125,3.7169221888498383,V > 0 and Z >= cutoff,0.9984600830074355,f5ebc433c526bb7d8fed9ce0592f8e4a342c007cf0ec2f30056bece9a7d26fcc,crossed group x prompt; frozen thresholds; null conditional on fixed evaluation-key pool
1.2,hard_matched,Wang hard statistic @ matched FPR,matched-FPR,160,0.89375,0.7937500000000001,0.9687499999999998,80,20480,0.001416015625,0.0005859375,0.0025390624999999997,8551,H <= cutoff,0.9713526916500147,f5ebc433c526bb7d8fed9ce0592f8e4a342c007cf0ec2f30056bece9a7d26fcc,crossed group x prompt; frozen thresholds; null conditional on fixed evaluation-key pool
1.2,posterior_matched,Posterior statistic @ matched FPR,matched-FPR,160,0.98125,0.9250000000000003,1.0000000000000002,80,20480,0.00068359375,0.0001953125,0.00146484375,3.0229717052487137,V > 0 and Z >= cutoff,0.9984600830074355,f5ebc433c526bb7d8fed9ce0592f8e4a342c007cf0ec2f30056bece9a7d26fcc,crossed group x prompt; frozen thresholds; null conditional on fixed evaluation-key pool
1.4,wang_published,Wang hard detector (published threshold),primary,160,0.3375,0.21875,0.45625,80,20480,0.0,0.0,0.0,7232.824913450762,H <= cutoff,0.9999999999996229,f5ebc433c526bb7d8fed9ce0592f8e4a342c007cf0ec2f30056bece9a7d26fcc,crossed group x prompt; frozen thresholds; null conditional on fixed evaluation-key pool
1.4,posterior_standard,"Posterior detector (standard threshold, FPR target 1e-3)",primary,160,1.0,0.9999999999999998,1.0000000000000004,80,20480,9.765625e-05,0.0,0.00043945312499999996,3.7169221888498383,V > 0 and Z >= cutoff,0.999999999999623,f5ebc433c526bb7d8fed9ce0592f8e4a342c007cf0ec2f30056bece9a7d26fcc,crossed group x prompt; frozen thresholds; null conditional on fixed evaluation-key pool
